t-SNE 1,t-SNE 2,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,Kmeans,AgglomerativeClustering,Birch,BisectingKMeans,AffinityPropagation,HDBSCAN,SpectralClustering,DBSCAN
21.775957,-27.332588,1,0,1,1,0,0,0,0,4,1,0,2,69,-1,0,-1
1.1349207,-31.168211,1,1,1,1,1,0,1,0,4,1,0,7,21,-1,0,-1
3.0170066,-31.821758,1,1,1,1,1,1,1,0,4,1,0,2,2,-1,0,-1
3.2183244,-30.864698,0,0,1,1,0,0,0,0,4,1,0,2,40,-1,0,-1
3.241176,-31.6234,0,1,1,1,1,0,1,0,4,1,0,2,2,-1,0,-1
5.641213,-33.886494,1,1,1,1,1,1,1,0,4,1,0,2,2,-1,0,-1
7.2745223,-34.786938,1,0,1,0,1,0,1,0,4,1,0,2,2,-1,0,-1
3.6810617,-33.391003,1,1,1,1,1,0,1,0,4,1,0,2,2,-1,0,-1
5.507096,-34.01337,1,1,1,1,1,0,1,0,4,1,0,2,2,-1,0,-1
4.4767666,-32.020184,0,0,1,1,1,0,1,0,4,1,0,2,2,-1,0,-1
17.79124,-23.080574,0,0,0,1,0,0,0,0,4,1,0,2,69,-1,0,-1
17.476921,-23.290037,1,1,1,1,0,0,0,0,4,1,0,2,69,143,0,-1
10.979601,-27.41579,0,1,1,1,1,0,1,0,3,2,0,4,67,-1,0,-1
16.06543,-23.131727,0,0,1,1,1,0,1,0,4,1,0,2,69,-1,0,-1
1.143594,-36.69507,0,0,1,0,0,0,0,0,4,1,0,2,42,-1,0,-1
9.331567,-8.76666,1,0,1,1,0,0,1,0,4,2,0,4,6,-1,0,-1
13.79079,-25.485556,1,1,1,1,1,0,1,0,4,1,0,2,69,-1,0,-1
17.359863,-23.418,1,1,1,1,1,0,1,0,4,1,0,2,69,-1,0,-1
15.882646,-22.77626,1,1,1,1,1,1,1,0,4,1,0,2,11,-1,0,-1
13.84986,-25.396887,0,0,1,1,1,0,1,0,4,1,0,2,69,-1,0,-1
8.859161,-33.351303,0,0,1,0,1,0,1,0,4,1,0,2,40,-1,0,-1
-0.35841167,-28.174395,1,0,1,0,1,0,1,0,4,1,0,2,21,-1,0,-1
13.899189,-24.935865,0,1,1,1,1,0,1,0,4,1,0,2,120,147,0,-1
13.941184,-24.474033,0,1,1,1,1,1,1,0,4,1,0,2,69,147,0,-1
13.379438,-23.26502,0,1,1,1,1,1,1,0,2,1,0,4,11,-1,0,-1
13.630384,-23.64604,0,1,1,1,0,0,0,0,4,1,0,2,69,-1,0,-1
6.6527114,-3.431068,1,0,1,1,1,0,1,0,4,2,0,2,68,-1,0,-1
7.550389,-36.16857,0,0,0,0,1,0,0,0,4,1,0,2,7,-1,0,-1
17.335344,-33.894753,0,0,1,0,1,0,1,0,4,1,0,2,5,-1,0,-1
21.798609,-27.313549,0,1,1,1,1,0,1,0,4,1,0,2,65,-1,0,-1
16.123781,-35.669136,0,1,1,1,1,0,1,0,4,1,0,2,40,-1,0,-1
7.9003716,-36.3436,1,1,1,1,1,0,1,0,4,1,0,2,5,-1,0,-1
16.480986,-35.65596,0,1,1,1,0,0,0,0,4,1,0,2,64,-1,0,-1
0.35987267,-19.471645,1,0,1,1,1,0,0,0,4,2,0,2,6,-1,0,-1
-21.002417,-22.04911,0,1,1,1,0,0,0,0,5,2,0,7,89,-1,0,-1
-18.18661,-4.9456778,1,1,0,1,0,0,1,0,2,4,0,6,4,134,0,-1
-0.62431556,10.491721,0,0,1,1,1,0,1,0,2,2,0,4,74,-1,0,-1
-18.17873,-5.5274997,1,1,1,1,0,0,0,0,2,4,0,7,4,134,0,-1
-9.12162,-21.693476,1,1,1,1,0,1,1,0,4,1,0,7,129,-1,0,-1
7.8744326,-20.093712,1,1,1,1,1,0,1,0,3,2,0,4,8,-1,0,-1
9.072518,-15.531357,1,0,1,1,0,0,0,0,2,2,0,4,3,-1,0,-1
7.9500723,-15.526006,0,0,1,0,0,0,0,0,2,2,0,4,3,-1,0,-1
9.153651,-15.467296,0,0,1,1,0,0,0,0,2,2,0,4,3,-1,0,-1
7.848703,-15.5921335,0,0,1,1,0,0,0,0,2,2,0,4,3,-1,0,-1
-4.9754076,-6.6002636,1,1,1,1,0,0,0,0,2,2,0,3,3,-1,0,-1
-4.881739,-6.6072984,0,0,1,1,0,0,0,1,2,2,0,3,3,-1,0,-1
6.5917463,-16.063122,1,1,1,1,0,0,0,0,4,2,0,2,3,-1,0,-1
6.592114,-16.111332,0,1,1,1,0,0,0,0,4,2,0,2,3,-1,0,-1
7.8832207,-20.00462,0,0,0,1,0,0,0,0,4,2,0,2,8,-1,0,-1
49.029934,-25.29814,0,0,1,1,0,0,0,0,3,0,0,4,7,-1,0,-1
2.2099192,9.029724,0,1,1,1,1,0,1,0,2,2,0,4,3,-1,0,-1
-18.434141,-5.662776,0,0,1,1,0,0,0,0,2,4,0,7,4,134,0,-1
-21.292116,14.332689,0,0,1,1,0,1,1,0,2,2,0,6,104,-1,0,-1
-9.530427,-18.94932,1,1,1,1,0,0,0,0,4,2,0,2,7,-1,0,-1
-18.62134,-6.058077,0,0,1,1,0,1,1,0,2,4,0,7,4,-1,0,-1
32.981213,45.051556,1,1,1,1,1,0,1,0,2,3,0,3,169,-1,0,-1
29.725252,41.40398,1,1,1,1,1,0,1,0,0,7,0,1,58,-1,0,-1
32.587654,41.868492,1,1,1,1,0,0,1,0,4,3,0,3,185,-1,0,-1
32.851376,44.69124,0,1,1,1,1,0,1,0,3,3,0,3,169,-1,0,-1
30.247446,42.288452,0,0,1,1,1,0,1,0,3,7,0,1,58,-1,0,-1
38.056652,18.406616,1,0,0,1,0,0,0,0,0,7,0,1,37,-1,0,-1
4.373242,-19.295067,0,0,0,1,0,0,0,0,4,2,0,2,7,-1,0,-1
-8.069684,-22.53905,0,1,1,1,1,0,1,0,4,1,0,2,129,-1,0,-1
9.133522,-32.491505,0,0,1,1,1,0,1,0,4,1,0,2,40,-1,0,-1
-8.204012,-22.827423,1,1,1,1,0,1,1,0,4,1,0,2,129,-1,0,-1
8.678977,-32.136448,0,0,1,0,1,0,1,0,4,1,0,2,40,-1,0,-1
-18.85706,-4.995164,0,1,0,1,1,0,1,1,5,4,0,7,4,134,0,-1
16.06398,24.579538,1,0,1,1,0,1,1,0,4,3,0,3,41,73,0,-1
5.439908,-34.131172,0,1,1,1,0,0,0,0,4,1,0,2,2,-1,0,-1
7.882261,-30.81345,0,0,1,1,0,0,0,0,4,1,0,2,40,-1,0,-1
8.238381,-18.463923,0,0,1,1,1,0,1,0,4,1,0,2,3,-1,0,-1
15.969075,24.637457,1,1,1,1,1,0,1,1,2,3,0,3,217,73,0,-1
9.758205,-8.005431,0,0,1,0,1,0,1,0,4,2,0,2,67,-1,0,-1
15.240886,-42.59273,0,0,0,1,0,0,0,0,4,1,0,2,66,-1,0,-1
14.441565,-41.61387,0,0,0,1,0,0,0,0,4,1,0,7,66,-1,0,-1
21.67629,-49.305893,0,0,1,1,1,0,1,0,4,1,0,2,25,-1,0,-1
14.690281,-43.044247,1,1,1,1,1,0,1,0,4,1,0,2,66,-1,0,-1
12.020853,-47.009975,1,0,1,0,1,0,1,0,4,1,0,2,62,-1,0,-1
11.970344,-47.006363,0,0,1,0,1,0,1,0,4,1,0,2,26,-1,0,-1
10.765931,-43.51087,0,0,1,0,1,0,1,0,4,1,0,2,5,-1,0,-1
8.5364685,-43.770405,1,1,1,1,1,1,1,0,4,1,0,2,5,-1,0,-1
8.821372,-44.48406,1,0,1,0,1,0,1,0,4,1,0,2,5,-1,0,-1
-2.0488305,-27.190031,1,0,1,1,1,0,1,0,4,1,0,2,41,-1,0,-1
9.817154,-45.834755,0,0,1,1,1,1,1,0,4,1,0,2,5,-1,0,-1
5.17998,-35.469215,0,0,1,1,0,0,1,0,4,1,0,2,2,-1,0,-1
5.9707346,-39.051746,1,0,1,0,1,0,1,0,4,1,0,2,5,-1,0,-1
6.703096,-36.07601,0,0,1,1,1,0,1,0,4,1,0,2,2,-1,0,-1
12.260517,-41.935825,1,1,1,1,1,0,1,0,4,1,0,2,5,103,0,-1
6.530106,-32.70633,0,1,1,1,1,0,1,0,3,7,0,2,2,-1,0,-1
10.058609,-43.5823,1,0,1,0,1,0,1,0,4,1,0,2,5,103,0,-1
28.41653,-39.323437,1,1,1,1,1,0,1,0,4,1,0,2,179,-1,0,-1
10.842796,-44.799988,1,1,1,1,0,0,0,0,4,1,0,2,5,-1,0,-1
8.733884,-43.10801,0,1,1,0,0,0,0,0,4,1,0,2,5,-1,0,-1
9.461387,-45.674583,0,0,1,0,1,0,1,0,4,1,0,2,5,-1,0,-1
9.437275,-45.48832,0,1,1,1,1,0,1,0,4,1,0,2,5,-1,0,-1
10.567835,-44.028965,1,0,1,1,1,0,1,0,4,1,0,2,5,-1,0,-1
9.962484,-42.68727,1,1,1,1,1,0,1,0,4,1,0,2,5,-1,0,-1
11.536096,-43.456573,1,1,1,1,1,0,1,0,4,1,0,2,5,-1,0,-1
9.812374,-43.3642,1,1,1,1,1,0,1,0,4,1,0,2,5,103,0,-1
-4.5777555,-25.970018,1,1,1,1,1,0,0,0,4,1,0,7,21,-1,0,-1
2.872762,-13.040619,0,0,1,1,1,1,1,0,2,1,0,2,6,-1,0,-1
-0.20771793,-24.842968,0,1,1,1,1,0,1,0,4,2,0,2,21,-1,0,-1
-0.063338675,-24.215324,0,1,1,1,1,0,1,0,4,2,0,2,69,-1,0,-1
14.756016,-29.657694,0,0,1,0,1,0,1,0,4,1,0,2,65,-1,0,-1
19.436829,-33.12844,1,1,1,1,1,0,1,0,4,1,0,2,63,-1,0,-1
-13.948547,-25.412952,1,1,1,1,0,1,1,0,5,1,0,7,100,-1,0,-1
-9.664233,-26.356539,0,0,1,1,1,0,1,0,4,1,0,7,21,-1,0,-1
17.791677,-32.166306,0,1,1,1,1,0,1,0,4,1,0,2,24,-1,0,-1
-7.549954,-24.308216,1,1,1,1,1,1,1,0,4,1,0,7,81,148,0,-1
-7.8658547,-23.222406,0,1,1,1,1,0,1,0,4,1,0,2,129,153,0,-1
-10.418076,-22.772388,0,1,1,1,0,0,0,0,5,1,0,7,129,-1,0,-1
7.7965,-12.113951,0,1,1,1,0,0,1,0,2,2,0,6,6,-1,0,-1
7.8933716,-12.040673,0,0,1,1,1,0,1,0,2,2,0,4,74,-1,0,-1
7.5698338,-12.262296,1,1,1,1,1,0,1,0,2,2,0,6,6,-1,0,-1
-59.257732,10.429418,1,1,1,1,0,0,1,1,6,5,1,5,92,107,0,-1
-43.587997,-16.183125,0,1,1,1,1,0,1,0,5,4,1,7,75,110,0,-1
-52.518524,8.107225,1,1,0,1,0,0,0,0,6,5,1,5,93,110,0,-1
-52.60373,8.782595,0,1,0,1,0,0,0,0,6,5,1,5,93,110,0,-1
-53.16894,7.8393784,1,1,1,1,1,0,1,0,6,5,1,5,93,110,0,-1
-54.77024,6.087682,0,1,0,1,0,0,1,0,6,5,1,5,12,110,0,-1
-53.76628,4.270624,1,1,1,1,1,1,1,0,6,5,1,5,12,110,0,-1
18.850193,19.82063,1,1,1,1,1,1,1,0,3,3,0,3,43,-1,0,-1
2.156328,-19.24219,1,1,1,1,1,0,1,0,2,2,0,2,7,-1,0,-1
3.4450178,-19.707758,0,0,1,0,1,0,1,0,4,2,0,2,7,-1,0,-1
39.209187,-21.151299,1,1,1,1,1,0,1,0,3,2,0,4,56,-1,0,-1
3.0918956,-16.486458,0,0,1,0,1,0,1,0,4,2,0,2,69,-1,0,-1
12.803613,-22.40668,0,1,1,0,1,0,1,0,2,2,0,4,11,-1,0,-1
3.2116966,-14.408247,0,1,1,1,1,0,1,0,2,2,0,2,6,151,0,-1
