standardized_smiles,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,number_of_profiles
C=C1C2CCC(C2)C1(C)CCC=C(C)COC(=O)Cc1ccccc1,1,0,1,1,1,0,1,0,5
C=C1C2CCC3C2C(C)(C)CCCC13C,0,0,1,1,1,1,1,0,5
C=C1C=CC(C(C)C)CC1,0,0,1,1,0,0,1,0,3
C=C1C=CC(C(C)C)CCC(C)=CCC1,1,0,1,0,1,0,1,0,4
C=C1C=CC(C(C)CCC=C(C)C)CC1,0,0,1,1,1,0,1,0,4
C=C1C=CCC(C)(C)C12CCC(C)O2,1,1,1,1,1,0,1,0,6
C=C1CC(C)OC(c2ccccc2)C1,0,1,1,1,1,0,1,0,5
C=C1CCC(C(C)C)C2C=C(C)CCC12,1,0,1,0,1,0,1,0,4
C=C1CCC2(C(C)C)CC12,1,1,1,1,1,0,1,0,6
C=C1CCC23C(C)CCC(C(C)C)C2C13,1,1,1,1,0,0,0,0,4
C=C1CCC2C(C1)C2(C)C,0,1,1,0,0,0,0,0,2
C=C1CCC2C(C3C(C)CCC13)C2(C)C,0,0,1,0,1,0,1,0,3
C=C1CCC2C(C3C1CCC3(C)O)C2(C)C,0,1,1,1,1,0,1,0,5
C=C1CCC2C1C1C(C(C)C)CCC21C,1,0,1,1,1,0,1,0,5
C=C1CCC2CC1C2(C)C,1,1,1,1,1,0,1,0,6
C=C1CCC2OC2(C)CCC2C1CC2(C)C,1,1,1,1,1,0,1,0,6
C=C1CCC=C(C)CCC2C1CC2(C)C,1,1,1,1,1,0,1,0,6
C=C1CCCC(C)(C)C1C(=O)C=CC,1,1,1,1,1,0,0,0,5
C=C1CCCC(C)(C)C1C(=O)OC,0,0,1,1,1,1,1,0,5
C=C1CCCC(C)(C)C1C=CC(C)=O,0,1,1,1,1,0,1,0,5
C=C1CCCC(C)(C)C1CCC(C)=O,0,1,1,1,1,0,1,0,5
C=C1CCCC2(C)CCC(=C(C)C)CC12,0,0,1,0,1,0,1,0,3
C=C1CCCC2(C)CCC(C(C)(C)O)CC12,1,1,1,1,1,0,1,0,6
C=C=CC(C)C(=O)OCC,1,1,1,1,0,1,1,0,6
C=CC(=C)CC(O)C=C(C)C,0,0,1,1,1,0,1,0,4
C=CC(=C)CCC1C(=C)CCC2C(C)(C)CCCC12C,0,1,1,1,1,0,1,0,5
C=CC(=C)CCC=C(C)C,1,1,1,1,1,1,1,0,7
C=CC(=C)CCC=C(C)CCC=C(C)C,0,1,1,1,1,0,1,0,5
C=CC(=C)CCC=C(C)CCC=C(C)C=O,0,1,1,1,0,0,0,0,3
C=CC(=C)CCCC(C)(C)O,0,1,1,1,0,0,1,0,4
C=CC(=C)CCCC(C)(C)OC,0,0,1,1,1,0,1,0,4
C=CC(=C)CCCC(C)(C)OC(C)=O,1,1,1,1,1,0,1,0,6
C=CC(=O)CC,1,1,1,1,0,0,1,1,6
C=CC(=O)CC=CCC,0,1,1,1,1,0,1,0,5
C=CC(=O)CCC,1,1,0,1,0,0,0,0,3
C=CC(=O)CCCC,0,1,0,1,0,0,0,0,2
C=CC(=O)CCCCC,1,1,1,1,1,0,1,0,6
C=CC(=O)CCCCCC,0,1,0,1,0,0,1,0,3
C=CC(=O)OCC,1,1,1,1,1,1,1,0,7
C=CC(C)(C#N)Cc1ccccc1,1,1,1,1,1,1,1,0,7
C=CC(C)(C)C(=O)C=C(C)C,1,1,1,1,1,0,1,0,6
C=CC(C)(C)C(O)C=C(C)C,0,0,1,0,1,0,1,0,3
C=CC(C)(C)O,1,1,1,1,1,0,1,0,6
C=CC(C)(CC=C(C)C)C(C)O,0,0,1,0,1,0,1,0,3
C=CC(C)(CCC1OC1(C)C)OC(C)=O,0,1,1,0,1,0,1,0,4
C=CC(C)(CCC=C(C)C)OC(=O)C(C)C,0,1,1,1,1,0,1,0,5
C=CC(C)(CCC=C(C)C)OC(=O)C=Cc1ccccc1,0,0,1,1,1,0,1,0,4
C=CC(C)(CCC=C(C)C)OC(=O)CC,1,1,1,1,1,0,1,0,6
C=CC(C)(CCC=C(C)C)OC(=O)CC(C)C,0,1,1,1,1,0,1,0,5
C=CC(C)(CCC=C(C)C)OC(=O)CCC,1,1,1,1,0,0,0,0,4
C=CC(C)(CCC=C(C)C)OC(=O)CCCC,0,1,1,1,0,0,1,0,4
C=CC(C)(CCC=C(C)C)OC(=O)CCCCC,1,1,1,1,0,0,0,0,4
C=CC(C)(CCC=C(C)C)OC(=O)CCCCCCC,0,1,1,1,1,0,1,0,5
C=CC(C)(CCC=C(C)C)OC(=O)Cc1ccccc1,1,0,1,1,0,0,0,0,3
C=CC(C)(CCC=C(C)C)OC(=O)c1ccccc1,1,1,1,1,1,0,1,1,7
C=CC(C)(CCC=C(C)C)OC(=O)c1ccccc1N,0,1,1,1,1,1,1,0,6
C=CC(C)(CCC=C(C)C)OC(C)=O,1,1,1,1,1,0,1,0,6
C=CC(C)(CCC=C(C)C)OC(C)OCC,0,1,1,1,1,0,1,0,5
C=CC(C)(CCC=C(C)C)OC=O,1,1,1,1,1,0,1,0,6
C=CC(C)(CCC=C(C)CC)OC(C)=O,0,1,1,1,0,0,0,0,3
C=CC(C)(CCC=C(C)CCC=C(C)C)OC(=O)C(C)C,1,1,1,1,1,0,1,0,6
C=CC(C)(CCC=C(C)CCC=C(C)C)OC(=O)CC,0,0,1,0,0,0,0,0,1
C=CC(C)(CCC=C(C)CCC=C(C)C)OC(C)=O,0,1,1,1,1,0,1,0,5
C=CC(C)(CCCC(C)C)OC(C)OCC,1,1,1,1,0,0,0,0,4
C=CC(C)(O)CC=CC(=C)C,1,1,1,1,1,0,1,1,7
C=CC(C)(O)CCC1C(C)(O)CCC2C(C)(C)CCCC21C,0,0,1,1,1,0,1,0,4
C=CC(C)(O)CCC=C(C)C,1,1,1,1,1,0,1,0,6
C=CC(C)(O)CCC=C(C)CC,1,1,1,1,1,0,1,0,6
C=CC(C)(O)CCC=C(C)CCC=C(C)C,0,1,1,1,1,0,1,0,5
C=CC(C)(O)CCC=C(C)CCC=C(C)CCC=C(C)C,0,0,1,0,0,0,0,0,1
C=CC(C)(O)CCCC(C)C,0,1,1,1,1,0,1,0,5
C=CC(C)(O)CCCC(C)CCCC(C)CCCC(C)C,1,1,1,1,1,0,1,0,6
C=CC(C)=CCC(O)C(=C)C,0,1,1,1,0,0,1,0,4
C=CC(C)=CCC1C(C)(O)CCC2C(C)(C)CCCC21C,0,0,1,0,1,0,1,0,3
C=CC(C)=CCC1OC1(C)C,0,1,1,1,1,0,1,0,5
C=CC(C)=CCC=C(C)C,1,1,1,1,1,0,1,0,6
C=CC(C)=CCC=C(C)CCC=C(C)C,1,1,1,1,1,0,1,0,6
C=CC(C)=CCC=C(C)CCC=C(C)C=O,0,1,1,1,0,0,0,0,3
C=CC(C)=CCCC(=C)C,1,1,1,1,1,0,1,0,6
C=CC(C)=CCCC(C)(C)O,1,1,1,1,0,0,1,0,5
C=CC(C)=CCCC(C)(C)OC(C)=O,0,1,1,1,0,0,1,0,4
C=CC(C)CCC=C(C)C,0,1,1,1,1,0,1,0,5
C=CC(C)CCC=C(C)CCC=O,0,0,1,0,0,1,1,0,3
C=CC(C)CCCC(C)(C)O,1,1,1,1,1,0,1,0,6
C=CC(C)CCCC(C)(C)OC(C)=O,0,1,1,1,0,0,1,0,4
C=CC(C)CCCC(C)C,0,0,1,1,1,0,1,0,4
C=CC(C)CCOC(=O)C(C)=CC,1,1,1,1,0,0,0,0,4
C=CC(C)O,0,1,1,1,0,0,0,0,3
C=CC(C=CC)SSC(C=C)C=CC,1,0,1,1,0,1,1,1,6
C=CC(CCC)OC(C)=O,1,1,1,1,0,0,0,0,4
C=CC(CCCCC)OC(=O)CC,0,0,0,1,0,0,0,1,2
C=CC(CCCCC)OC(=O)CCC,1,1,1,1,1,0,1,0,6
C=CC(CCCCC)OC(C)=O,1,1,1,1,1,0,1,0,6
C=CC(O)CC,1,1,1,1,0,1,1,0,6
C=CC(O)CC=CCC,1,1,1,1,1,0,1,0,6
C=CC(O)CCC,1,1,1,1,1,1,1,0,7
C=CC(O)CCCC,1,1,1,1,1,0,1,0,6
C=CC(O)CCCCC,1,1,1,1,1,0,1,1,7
C=CC(O)CCCCCC,1,1,1,1,1,0,1,0,6
C=CC(O)CCCCCCC,1,1,1,1,1,1,1,1,8
C=CC1(C)CCC(=C(C)C)CC1C(=C)C,1,1,1,1,1,0,1,0,6
C=CC1(C)CCC(=O)O1,0,0,1,1,0,0,0,0,2
C=CC1(C)CCC(C(=C)C)CC1C(=C)C,0,1,1,1,1,0,1,0,5
C=CC1(C)CCC(C(=C)C)O1,1,1,1,1,1,0,1,0,6
C=CC1(C)CCC(C(C)(C)O)CC1C(=C)C,1,1,1,1,1,0,1,0,6
C=CC1(C)CCC(C(C)(C)O)O1,0,1,1,1,1,0,1,0,5
C=CC1(C)CCC(C(C)(C)OC(C)=O)O1,0,0,1,1,1,0,1,0,4
C=CC1(C)CCC(C(C)C)=CC1C(=C)C,0,0,1,1,1,0,1,0,4
C=CC1(C)CCC(C(C)C=O)O1,0,0,1,0,0,0,0,0,1
C=CC1(C)CCC(O)C(C)(C)O1,1,1,1,1,1,0,1,0,6
C=CC1(C)CCCC(C)(C)O1,0,1,1,1,1,0,1,0,5
C=CC1(C)OC(C)(C)CCC1O,0,1,1,1,0,0,0,0,3
C=CC1(OC(C)=O)CCCCC1C(C)CC,0,1,1,0,1,0,1,0,4
C=CC=C(C)CC(C)(O)C=C,1,0,1,1,0,0,0,0,3
C=CC=CC,1,1,0,0,1,1,1,0,5
C=CC=CC#CCCCCC,1,1,1,1,0,0,0,0,4
C=CC=CC=CC=CCCC,0,1,1,1,1,0,1,0,5
C=CC=CC=CCC,1,1,1,1,1,1,1,0,7
C=CC=CC=CCCC(=O)CC,0,0,1,0,0,0,1,0,2
C=CC=CC=CCCCCC,1,1,1,1,1,0,1,0,6
C=CC=CC=O,0,0,1,1,0,0,0,0,2
C=CC=O,1,0,1,1,0,0,0,0,3
C=CCC(C)C(=O)O,1,0,1,1,0,0,0,0,3
C=CCC(C)C(=O)OCC,1,1,1,1,0,0,1,0,5
C=CCC(C)O,0,0,1,1,0,0,0,0,2
C=CCC(C=CCCCCC)OC(C)=O,0,1,1,1,0,0,0,0,3
C=CCC(C=O)c1ccccc1,0,0,1,1,0,0,0,0,2
C=CCC(CC)C(=O)CC,1,0,0,1,0,0,1,0,3
C=CCC(O)C=CCCCCC,0,1,1,1,1,0,1,0,5
C=CCC1(O)C(C)(C)CCCCC1(C)C,0,1,1,1,1,0,1,0,5
C=CCC1=C(C)CCC1=O,1,1,1,1,0,0,0,0,4
C=CCC=CCCC(=O)OC,0,1,1,1,0,0,0,0,3
C=CCC=CCCC(=O)OCC,0,0,1,1,0,1,1,0,4
C=CCCC(=O)C(=C)C1CCCCC1,0,1,1,1,1,0,1,0,5
C=CCCC(=O)C1=CCCC(C)(C)C1,0,1,1,1,1,0,1,0,5
C=CCCC(=O)C1=CCCC2(CCCC2)C1,0,1,1,1,0,0,0,0,3
C=CCCC(=O)C1CCCC(C)(C)C1,0,1,1,1,1,0,1,0,5
C=CCCC(=O)C=CC1C(C)=CCCC1(C)C,1,1,1,1,1,0,1,0,6
C=CCCC(=O)O,1,0,1,1,0,0,0,0,3
C=CCCC(=O)OCC,1,1,1,1,1,1,1,0,7
C=CCCC(=O)c1ccccc1,0,0,1,0,1,0,1,0,3
C=CCCC(C)=O,0,0,1,0,0,1,1,0,3
C=CCCC1=C(C)C(=O)CCC1(C)C,0,0,1,1,1,0,1,0,4
C=CCCC=O,1,0,0,0,0,0,0,0,1
C=CCCCC(=O)OCC,0,0,1,1,0,0,0,0,2
C=CCCCC1CCCC(=O)O1,1,0,1,1,0,0,0,0,3
C=CCCCC=CCOC,0,1,1,1,0,0,0,0,3
C=CCCCCCC,1,0,0,1,1,1,1,0,5
C=CCCCCCCC(C)=O,0,1,1,1,0,0,0,0,3
C=CCCCCCCCC(=O)O,1,1,1,1,0,0,0,0,4
C=CCCCCCCCC(=O)OCC,1,0,1,1,1,0,1,0,5
C=CCCCCCCCC=CCC#N,1,1,1,1,0,1,1,0,6
C=CCCCCCCCC=O,0,1,1,1,0,1,1,0,5
C=CCCCCCCCCC(=O)O,0,0,1,1,1,0,1,0,4
C=CCCCCCCCCC(=O)OC,1,1,1,1,1,0,1,1,7
C=CCCCCCCCCC(=O)OCC,1,1,1,1,1,0,1,0,6
C=CCCCCCCCCC(=O)OCC(C)C,0,0,1,1,0,0,0,0,2
C=CCCCCCCCCC(=O)OCC=C,0,0,1,1,0,0,0,0,2
C=CCCCCCCCCC(=O)OCC=C(C)CCC=C(C)C,0,0,1,1,0,0,0,0,2
C=CCCCCCCCCC(=O)OCCCC,1,0,1,1,0,1,1,0,5
C=CCCCCCCCCC=O,1,1,1,1,0,1,1,0,6
C=CCCCCCCCCCC(=O)O,0,1,1,1,0,1,1,0,5
C=CCCCCCCCCCO,1,1,1,1,0,0,1,0,5
C=CCCCCCCCCCOC(C)=O,1,1,1,1,0,0,1,0,5
C=CCCCCCCCCCOCCC#N,0,0,1,1,0,0,0,0,2
C=CCCCCCCCCO,0,1,1,1,0,1,1,0,5
C=CCCCCCCCCOC(=O)CC,0,1,1,1,1,0,0,0,4
C=CCCCCCCCCOC(C)=O,0,0,1,0,0,0,0,0,1
C=CCCCCN=C=S,1,1,1,1,0,0,1,0,5
C=CCCCCO,0,1,1,1,0,0,0,0,3
C=CCCCN=C=S,1,1,1,1,0,0,1,0,5
C=CCCCOC(C)=O,1,1,1,1,1,1,1,1,8
C=CCCN=C=S,1,1,1,1,1,0,1,0,6
C=CCN=C=S,1,1,1,1,0,1,1,1,7
C=CCO,0,1,0,1,0,0,1,0,3
C=CCOC(=O)C(C)=CC,0,1,1,1,0,0,0,0,3
C=CCOC(=O)C(CC)CC,0,0,1,1,0,1,1,0,4
C=CCOC(=O)C=CC=CC,0,0,1,1,0,0,0,0,2
C=CCOC(=O)C=Cc1ccccc1,1,0,1,1,0,0,1,0,4
C=CCOC(=O)CC,0,1,1,1,0,1,1,0,5
C=CCOC(=O)CC(C)C,1,1,1,1,0,0,1,0,5
C=CCOC(=O)CC(C)CC(C)(C)C,1,0,1,1,0,0,0,0,3
C=CCOC(=O)CC1CCCCC1,0,1,1,1,0,0,0,0,3
C=CCOC(=O)CCC,0,1,1,1,0,0,1,0,4
C=CCOC(=O)CCC1CCCCC1,0,1,1,1,0,0,1,0,4
C=CCOC(=O)CCCC,0,0,1,1,0,0,0,0,2
C=CCOC(=O)CCCC(C)(C)CC,0,0,1,1,0,0,1,0,3
C=CCOC(=O)CCCC1CCCCC1,0,0,1,1,0,0,0,0,2
C=CCOC(=O)CCCCC,1,0,1,1,0,1,1,0,5
C=CCOC(=O)CCCCC1CCCCC1,0,0,1,1,0,0,0,0,2
C=CCOC(=O)CCCCCC,1,1,1,1,0,1,1,0,6
C=CCOC(=O)CCCCCC1CCCCC1,0,0,1,1,0,0,0,0,2
C=CCOC(=O)CCCCCCC,1,1,1,1,0,0,0,0,4
C=CCOC(=O)CCCCCCCC,1,0,1,1,0,0,0,0,3
C=CCOC(=O)CCCCCCCCC,0,0,1,1,0,0,0,0,2
C=CCOC(=O)COC1CCCCC1,1,1,1,1,1,0,1,0,6
C=CCOC(=O)COCCC(C)C,0,1,1,1,0,1,1,0,5
C=CCOC(=O)COc1ccccc1,1,1,1,1,0,0,0,0,4
C=CCOC(=O)Cc1ccccc1,1,0,1,1,0,0,0,0,3
C=CCOC(=O)c1ccccc1,0,0,1,1,0,0,0,0,2
C=CCOC(=O)c1ccccc1N,0,1,1,1,0,0,0,0,3
C=CCOC(=O)c1ccccc1O,0,0,1,1,1,0,1,0,4
C=CCOC(=O)c1ccco1,1,0,1,1,0,0,0,0,3
C=CCOC(C)=O,0,0,1,1,0,0,0,0,2
C=CCOC1CC2CC1C1C=CCC21,1,0,1,1,1,0,1,0,5
C=CCOC=O,0,0,1,1,0,1,1,0,4
C=CCOCCO,0,0,0,1,0,0,0,0,1
C=CCOCCc1ccccc1,1,1,1,1,0,0,0,0,4
C=CCS,1,1,1,1,0,1,1,1,7
C=CCSC,1,0,1,1,0,1,1,1,6
C=CCSC(=O)CC,1,1,1,1,0,0,1,1,6
C=CCSCC(N)C(=O)O,1,0,0,0,0,0,0,0,1
C=CCSCC=C,1,1,1,1,0,1,1,1,7
C=CCSCCC,1,1,1,1,0,0,1,1,6
C=CCSSC,1,1,1,1,0,1,1,1,7
C=CCSSCC=C,1,1,1,1,0,1,1,1,7
C=CCSSCCC,1,1,1,1,0,1,1,1,7
C=CCSSSC,1,0,1,1,0,1,1,1,6
C=CCSSSCC=C,1,1,1,1,0,1,1,1,7
C=CCSSSCCC,1,0,1,1,0,1,1,1,6
C=CCSSSSCC=C,1,0,1,1,0,1,1,1,6
C=CCS[S+]([O-])CC=C,1,0,0,1,0,0,1,0,3
C=CCc1cc(OC)c(O)c(OC)c1,1,1,1,1,1,0,1,0,6
C=CCc1cc(OC)c(OC)c(OC)c1,1,0,1,0,0,0,0,0,2
C=CCc1cc(OC)c2c(c1)OCO2,1,0,1,1,1,0,1,0,5
C=CCc1cc(OC)c2c(c1OC)OCO2,1,0,1,0,1,0,1,0,4
C=CCc1cc2c(c(OC)c1OC)OCO2,1,0,1,0,1,0,1,0,4
C=CCc1cc2c(cc1OC)OCO2,1,0,0,0,0,0,0,0,1
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,0,0,0,1,0,0,0,0,1
C=CCc1ccc(O)c(OC)c1,1,1,1,1,1,0,1,0,6
C=CCc1ccc(O)cc1,0,0,1,1,1,1,1,0,5
C=CCc1ccc(OC(=O)CC(C)C)c(OC)c1,1,0,1,1,0,0,1,0,4
C=CCc1ccc(OC(=O)Cc2ccccc2)c(OC)c1,1,0,1,1,0,0,0,0,3
C=CCc1ccc(OC(=O)c2ccccc2)c(OC)c1,1,0,0,0,0,0,1,0,2
C=CCc1ccc(OC(C)=O)c(OC)c1,1,1,1,1,0,0,1,0,5
C=CCc1ccc(OC)c(O)c1,1,0,1,0,0,0,0,0,2
C=CCc1ccc(OC)c(OC)c1,1,1,1,1,1,0,1,0,6
C=CCc1ccc(OC)cc1,1,1,1,1,1,1,1,0,7
C=CCc1ccc(OC2OC(CO)C(O)C(O)C2O)c(OC)c1,1,0,0,0,0,0,0,0,1
C=CCc1ccc(OC=O)c(OC)c1,0,1,1,1,1,0,1,0,5
