standardized_smiles,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,number_of_profiles
BrC=Cc1ccccc1,0,1,1,1,0,0,0,0,3
C#CC(C)(O)CCC=C(C)C,0,1,1,1,1,0,1,0,5
C#CC1(OC(C)=O)CCCCC1,0,1,1,1,1,0,1,0,5
C#CC1(OC(C)=O)CCCCC1C(C)CC,0,1,1,0,1,0,1,0,4
C#CCO,0,0,1,0,0,0,0,0,1
C(=CC1OCCO1)c1ccccc1,1,0,0,1,0,0,0,0,2
C12=C3C4C1=C1C2C3C14,1,0,1,1,0,0,0,0,3
C1=CC2COCC2CCCCCCCC1,1,1,0,1,1,0,1,0,5
C1=CCOC=C1,1,0,0,1,1,0,1,0,4
C1=NCCC1,1,0,1,1,0,0,1,0,4
C1CC2C3CC(C2C1)C1(CCCO1)C3,1,1,1,1,1,0,0,0,5
C1CCC(SSC2CCCCC2)CC1,1,0,1,1,0,0,1,1,5
C1CCCC2(CCC1)CCCO2,1,0,1,0,1,1,1,0,5
C1CCCCCC2COCC2CCCC1,0,1,1,1,1,0,1,0,5
C1CCNC1,1,0,1,1,0,1,1,0,5
C1CCNCC1,1,0,1,1,0,0,1,0,4
C1CCSC1,1,1,1,1,0,1,1,1,7
C1CNCCN1,0,0,0,1,0,0,1,0,2
C1CSCCS1,1,1,1,1,1,1,1,1,8
C1CSCS1,1,0,1,1,0,1,1,1,6
C1CSCSC1,1,0,0,0,0,0,1,0,2
C1SCSS1,1,0,1,1,0,1,1,1,6
C1SSCSSS1,0,0,0,1,0,0,0,0,1
C=C(C(C)C(C)O)C(C)C(C)(C)C,0,1,1,0,1,0,1,0,4
C=C(C)C(=O)OC,0,0,1,1,1,0,1,0,4
C=C(C)C(=O)OCC,0,1,1,1,0,0,1,0,4
C=C(C)C(CC(=O)O)CC(=O)O,1,0,0,1,0,0,0,0,2
C=C(C)C(CCC(C)=O)CC(=O)O,0,0,1,0,0,0,0,0,1
C=C(C)C(CO)CC=C(C)C,1,0,1,1,1,0,1,0,5
C=C(C)C(O)CCC(C)CCO,0,0,1,0,0,0,0,0,1
C=C(C)C1=CC=C(C)CC1,1,1,1,1,1,1,1,0,7
C=C(C)C1C=C2C(C)CCC2C(C)CC1,0,1,0,1,1,0,1,0,4
C=C(C)C1C=CC(C)(O)CC1,0,1,1,1,0,0,1,0,4
C=C(C)C1C=CC(C)=CC1,1,0,0,0,0,0,0,0,1
C=C(C)C1C=CC2=CC(=O)CC(C)C2(C)C1,0,1,1,1,0,0,0,0,3
C=C(C)C1CC(=O)C2(C)OC2C1,1,0,1,1,0,0,0,0,3
C=C(C)C1CC=C(C)C(=O)C1,1,1,1,1,1,0,1,0,6
C=C(C)C1CC=C(C)C(O)C1,1,1,1,1,1,1,1,0,7
C=C(C)C1CC=C(C)C(OC(=O)CC)C1,0,0,1,1,0,0,0,0,2
C=C(C)C1CC=C(C)C(OC(C)=O)C1,0,1,1,1,1,0,1,0,5
C=C(C)C1CC=C(C)CC1,1,1,1,1,1,1,1,0,7
C=C(C)C1CC=C(C2OCC(C)O2)CC1,1,0,1,0,1,0,1,0,4
C=C(C)C1CC=C(C=O)CC1,1,1,1,1,1,0,1,0,6
C=C(C)C1CC=C(CO)CC1,1,1,1,1,1,0,1,0,6
C=C(C)C1CC=C(COC(C)=O)CC1,0,0,1,1,1,0,1,0,4
C=C(C)C1CCC(C)(O)C(O)C1,0,0,0,1,0,0,0,0,1
C=C(C)C1CCC(C)(O)C1C,1,1,1,1,0,0,0,0,4
C=C(C)C1CCC(C)(O)CC1,0,1,1,1,1,0,1,0,5
C=C(C)C1CCC(C)(OC(C)=O)C1C,0,0,1,1,1,0,1,0,4
C=C(C)C1CCC(C)=C(OO)C1,0,0,1,0,0,0,0,0,1
C=C(C)C1CCC(C)=C1CC(C)(C)COC(=O)CC,1,0,1,1,0,0,1,0,4
C=C(C)C1CCC(C)C(=O)C1,1,1,1,1,1,0,1,0,6
C=C(C)C1CCC(C)C(O)C1,1,1,1,1,1,0,1,0,6
C=C(C)C1CCC(C)C(OC(C)=O)C1,1,1,1,1,1,1,1,0,7
C=C(C)C1CCC(C)C1C=O,0,0,1,1,1,0,1,0,4
C=C(C)C1CCC(C)C2=C(C1)C(C)CC2,0,0,1,0,1,0,1,0,3
C=C(C)C1CCC(C)C2=C(C1)C(C)CC2=O,1,0,1,0,1,0,1,0,4
C=C(C)C1CCC(C)CC1=O,0,1,1,1,1,0,1,0,5
C=C(C)C1CCC(C)CC1O,0,1,1,1,1,1,1,0,6
C=C(C)C1CCC(C)CC1OC(C)=O,0,1,1,1,1,1,1,0,6
C=C(C)C1CCC(C)CC1OC=O,0,1,1,1,0,0,0,0,3
C=C(C)C1CCC(C=O)CC1,1,0,1,1,1,0,1,0,5
C=C(C)C1CCC2(C)CCC=C(C)C2C1,0,0,0,0,1,0,0,0,1
C=C(C)C1CCC2(C)CCCC(=C)C2C1,0,0,1,0,1,0,1,0,3
C=C(C)C1CCC2(C)OC2C1,0,1,1,1,1,0,1,0,5
C=C(C)C1CCC2=CC(=O)CC(C)C2(C)C1,0,1,1,1,1,0,1,0,5
C=C(C)C1CCC2=CCCC(C)C2(C)C1,1,1,1,1,1,0,1,0,6
C=C(C)C1CCC2CC(=O)CC(C)C2(C)C1,0,1,1,1,0,0,0,0,3
C=C(C)C=CC(CCC(C)=O)C(C)C,1,0,1,1,1,0,0,0,4
C=C(C)C=O,0,1,1,1,0,0,0,0,3
C=C(C)CC(C)=O,1,1,0,1,0,0,1,0,4
C=C(C)CC(C)OC(=O)C(C)C,0,0,1,1,1,0,1,0,4
C=C(C)CCC(C)=O,1,1,1,1,0,0,0,0,4
C=C(C)CCCC(C)=CCC(C)C=O,1,1,1,1,0,1,1,0,6
C=C(C)CCCC(C)CCO,1,1,1,1,1,0,1,0,6
C=C(C)CCCC(C)CCOC(=O)C(C)C,1,0,1,1,0,0,0,0,3
C=C(C)CCCC(C)CCOC(=O)CC,0,0,1,0,0,0,0,0,1
C=C(C)CCCC(C)CCOC(=O)CC(C)C,0,0,1,1,0,0,0,0,2
C=C(C)CCCC(C)CCOC(=O)CCC,0,0,1,1,0,0,0,0,2
C=C(C)CCCC(C)CCOC(=O)Cc1ccccc1,1,1,1,1,0,0,0,0,4
C=C(C)CCCC(C)CCOC(=O)c1ccccc1,0,0,1,1,0,0,0,1,3
C=C(C)CCCC(C)CCOC(C)=O,1,1,1,1,0,0,0,0,4
C=C(C)CCCC(C)CCOC=O,0,1,1,1,0,0,0,0,3
C=C(C)CCCC(C)CO,0,0,0,1,0,0,0,0,1
C=C(C)CCO,0,0,1,1,0,0,0,0,2
C=C(C)CCOC(=O)C(C)(C)C,0,1,1,1,1,0,1,0,5
C=C(C)CCOC(C)=O,0,0,1,1,0,0,0,0,2
C=C(C)COC(=O)CCC,0,0,1,1,0,1,1,0,4
C=C(C)COCCC=CCC,1,1,1,1,0,0,0,0,4
C=C(C)OC(C)=O,0,0,1,1,0,1,1,0,4
C=C(C)c1cc(C(C)=O)ccn1,1,1,1,1,1,0,1,0,6
C=C(C)c1ccc(C)cc1,1,1,1,1,1,0,1,0,6
C=C(C)c1cccc(C(C)CC=O)c1,1,1,1,1,0,0,1,0,5
C=C(C)c1ccnc(C(C)=O)c1,0,1,1,1,1,0,1,0,5
C=C(C)c1ccnc(CC)c1,0,0,1,1,1,0,1,0,4
C=C(C)c1cnccn1,1,0,0,1,0,0,0,0,2
C=C(C=O)C(C)CC(C)(C)C,0,0,0,1,0,0,0,0,1
C=C(C=O)C(C)CCC=C(C)C,0,1,1,1,1,0,1,0,5
C=C(CC(C)CO)C1CC=C(C)C1(C)C,0,0,1,1,1,0,1,0,4
C=C(CC=O)CCC=C(C)C,1,1,1,1,0,1,1,0,6
C=C(CCC=C(C)C)C1CC=C(C)CC1,0,0,1,0,1,0,1,0,3
C=C(CCCCC)C(C)=O,0,1,0,1,1,0,1,1,5
C=C(CCOC(C)=O)c1ccccc1,1,0,1,1,0,1,1,0,5
C=C(CO)C1CC=C(C)CC1,0,1,1,1,0,0,0,0,3
C=C(COC(C)=O)C1CC=C(C)CC1,0,0,1,1,0,0,0,0,2
C=C(O)C(C)CCCC(C)C,0,0,1,1,1,0,1,0,4
C=C(OC(C)=O)c1ccccc1,1,1,1,1,1,0,1,1,7
C=C(OCC)C1C(C)(C)CC(=O)CC1(C)C,0,0,1,0,1,0,1,0,3
C=C1C(=O)CC2CC1C2(C)C,0,0,0,1,0,0,0,0,1
C=C1C(=O)OC2C1CCC(=C)C1CCC(=C)C12,0,0,0,1,0,0,0,0,1
C=C1C(O)CC23CC1C(C)(C)C2CCC3C,0,0,1,1,1,0,1,0,4
C=C1C(O)CC2CC1C2(C)C,1,1,1,1,1,0,1,0,6
C=C1C2CC3CC1C(O)C(C2)C3C,1,0,1,0,1,0,1,0,4
C=C1C2CC3CC1C(OC(C)=O)C(C2)C3C,0,0,1,0,1,0,1,0,3
C=C1C2CCC(C)(OCC)C1CCC2(C)C,0,0,1,0,1,0,1,0,3
C=C1C2CCC(C2)C1(C)C,1,1,1,1,1,1,1,0,7
C=C1C2CCC(C2)C1(C)CCC=C(C)CO,1,0,1,0,1,0,1,0,4
