standardized_smiles,CAS-Id,fcfp_compact,fcfp_environments,odor_1,odor_2,odor_3,odor_4,odor_5,odor_6,odor_7,odor_8,odor_9,odor_10,odor_11,odor_12,odor_13,odor_14,odor_15,odor_16,odor_17,odor_18,odor_19,odor_20,odor_21,odor_22,odor_23,odor_24,odor_25,odor_26,odor_27,odor_28,odor_29,odor_30,odor_31,odor_32,odor_33,odor_34,odor_35,odor_36
C=CCOC(=O)COc1ccccc1,7493-74-5,4P///wAEAAAUAAAAAAICbHzKzsEAuDbNAAoaPA4AWGw0LA4=,"{""0"": [[0, 0], [1, 0], [2, 0], [4, 0], [6, 0]], ""2"": [[3, 0], [5, 0], [7, 0]], ""4"": [[8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0]], ""175072098"": [[6, 2]], ""364196064"": [[8, 2]], ""471520143"": [[1, 2]], ""614173298"": [[4, 1]], ""728943675"": [[8, 1]], ""1051266860"": [[3, 2]], ""1230563926"": [[10, 2], [11, 2], [12, 2]], ""2123752776"": [[4, 2]], ""3205495930"": [[0, 1]], ""3205496824"": [[5, 1]], ""3391235937"": [[7, 2]], ""3663726584"": [[9, 2], [13, 2]], ""3764344801"": [[9, 1], [10, 1], [11, 1], [12, 1], [13, 1]], ""3766532902"": [[2, 1], [6, 1]], ""3766532953"": [[1, 1]], ""3768571706"": [[3, 1]], ""3768571846"": [[7, 1]], ""4196735481"": [[2, 2]]}",Floral,Food,Fresh,Sweet,Fruity,Caramel,Non-citrus fruity,Green,Nature,Chocolate,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCOC(=O)Cc1ccccc1,1797-74-6,4P///wAEAAAUAAAAAAIC6sUCTkg0gjZy7gIKGjxqIIAsDg==,"{""0"": [[0, 0], [1, 0], [2, 0], [4, 0], [6, 0]], ""2"": [[3, 0], [5, 0]], ""4"": [[7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0]], ""471520143"": [[1, 2]], ""594405804"": [[7, 1]], ""614173298"": [[4, 1]], ""1051266860"": [[3, 2]], ""1230563926"": [[9, 2], [10, 2], [11, 2]], ""1327368660"": [[7, 2]], ""1546742444"": [[6, 2]], ""2123629472"": [[4, 2]], ""3205495930"": [[0, 1]], ""3205496824"": [[5, 1]], ""3532240404"": [[8, 2], [12, 2]], ""3764344801"": [[8, 1], [9, 1], [10, 1], [11, 1], [12, 1]], ""3766532900"": [[6, 1]], ""3766532902"": [[2, 1]], ""3766532953"": [[1, 1]], ""3768571706"": [[3, 1]], ""4196735481"": [[2, 2]]}",Sweet,Fruity,Caramel,Beverage,Nature,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCOC(=O)c1ccccc1,583-04-0,4P///wAEAAASAAAAAAICFtLFApg0gnyIOlomPGqiLA4=,"{""0"": [[0, 0], [1, 0], [2, 0], [4, 0]], ""2"": [[3, 0], [5, 0]], ""4"": [[6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0]], ""471520143"": [[1, 2]], ""594405804"": [[6, 1]], ""613541904"": [[4, 1]], ""835404536"": [[3, 2]], ""1230563926"": [[8, 2], [9, 2], [10, 2]], ""2366298773"": [[6, 2]], ""3205495930"": [[0, 1]], ""3205496824"": [[5, 1]], ""3532240404"": [[7, 2], [11, 2]], ""3764344801"": [[7, 1], [8, 1], [9, 1], [10, 1], [11, 1]], ""3766532902"": [[2, 1]], ""3766532953"": [[1, 1]], ""3768571706"": [[3, 1]], ""4196735481"": [[2, 2]], ""4263360218"": [[4, 2]]}",Floral,Sweet,Fruity,Non-citrus fruity,Nature,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCOC(=O)c1ccccc1N,7493-63-2,4P///wAEAAAWAAAAAAICFgTMAQHgmDSCDQA6WiICPGoWih4MDg==,"{""0"": [[0, 0], [1, 0], [2, 0], [4, 0]], ""2"": [[3, 0], [5, 0]], ""4"": [[6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0]], ""19"": [[12, 0]], ""471520143"": [[1, 2]], ""594405804"": [[6, 1]], ""613541904"": [[4, 1]], ""729011515"": [[11, 1]], ""835404536"": [[3, 2]], ""1230563926"": [[8, 2], [9, 2]], ""1778260891"": [[6, 2]], ""2674709504"": [[11, 2]], ""3205493745"": [[12, 1]], ""3205495930"": [[0, 1]], ""3205496824"": [[5, 1]], ""3532240404"": [[7, 2]], ""3660059448"": [[10, 2]], ""3764344801"": [[7, 1], [8, 1], [9, 1], [10, 1]], ""3766532902"": [[2, 1]], ""3766532953"": [[1, 1]], ""3768571706"": [[3, 1]], ""4196735481"": [[2, 2]], ""4263360218"": [[4, 2]]}",Floral,Vegetation,Fruity,Green,Nature,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCOC(=O)c1ccccc1O,10484-09-0,4P///wAEAAAXAAAAAAIAABbSxQKYNIINADoWQgIiMghWEqIiCA4=,"{""0"": [[0, 0], [1, 0], [2, 0], [4, 0]], ""2"": [[3, 0], [5, 0]], ""3"": [[12, 0]], ""4"": [[6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0]], ""471520143"": [[1, 2]], ""594405804"": [[6, 1]], ""613541904"": [[4, 1]], ""728945448"": [[11, 1]], ""835404536"": [[3, 2]], ""1230563926"": [[8, 2], [9, 2]], ""1788934996"": [[6, 2]], ""2183310084"": [[11, 2]], ""3205495930"": [[0, 1]], ""3205496709"": [[12, 1]], ""3205496824"": [[5, 1]], ""3532240404"": [[7, 2]], ""3664333811"": [[10, 2]], ""3764344801"": [[7, 1], [8, 1], [9, 1], [10, 1]], ""3766532902"": [[2, 1]], ""3766532953"": [[1, 1]], ""3768571706"": [[3, 1]], ""4196735481"": [[2, 2]], ""4263360218"": [[4, 2]]}",Aromatic,Sweet,Vegetation,Fruity,Non-citrus fruity,Nature,Resinous,Herbaceous,Woody,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCOC(=O)c1ccco1,4208-49-5,4P///wAEAAAXAAAAAAICAhLSEOQI+QB8qGYuulomPGoggCoADg==,"{""0"": [[0, 0], [1, 0], [2, 0], [4, 0]], ""2"": [[3, 0], [5, 0]], ""4"": [[6, 0], [7, 0], [8, 0], [9, 0]], ""6"": [[10, 0]], ""471520143"": [[1, 2]], ""594405818"": [[6, 1]], ""613541904"": [[4, 1]], ""835404536"": [[3, 2]], ""1230564256"": [[8, 2]], ""1251070542"": [[9, 2]], ""3138707702"": [[6, 2]], ""3205495930"": [[0, 1]], ""3205496824"": [[5, 1]], ""3514530458"": [[10, 2]], ""3532241538"": [[7, 2]], ""3764335747"": [[10, 1]], ""3764344801"": [[7, 1], [8, 1]], ""3764344823"": [[9, 1]], ""3766532902"": [[2, 1]], ""3766532953"": [[1, 1]], ""3768571706"": [[3, 1]], ""4196735481"": [[2, 2]], ""4263289083"": [[4, 2]]}",Sweet,Fruity,Caramel,Nature,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCOC(C)=O,591-87-7,4P///wAEAAANAAAAAAJ0ePkD8M0ACho8amBuDg==,"{""0"": [[0, 0], [1, 0], [2, 0], [4, 0], [5, 0]], ""2"": [[3, 0], [6, 0]], ""471520143"": [[1, 2]], ""614173298"": [[4, 1]], ""1051266860"": [[3, 2]], ""3205495869"": [[5, 1]], ""3205495930"": [[0, 1]], ""3205496824"": [[6, 1]], ""3515543488"": [[4, 2]], ""3766532902"": [[2, 1]], ""3766532953"": [[1, 1]], ""3768571706"": [[3, 1]], ""4196735481"": [[2, 2]]}",Nature,Sweet,Fruity,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCOC1CC2CC1C1C=CCC21,26912-64-1,4P///wAEAAAVAAAAAAIuviowtCCNASkACsgKRBoOFjwyIhLg,"{""0"": [[0, 0], [1, 0], [2, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0]], ""2"": [[3, 0]], ""193988868"": [[12, 2]], ""195736378"": [[10, 2]], ""471520143"": [[1, 2]], ""614176388"": [[8, 1], [9, 1], [6, 1], [13, 1]], ""614176394"": [[4, 1]], ""1015497605"": [[6, 2]], ""1053841434"": [[3, 2]], ""1060905104"": [[4, 2]], ""1334060783"": [[7, 2]], ""1334060789"": [[5, 2]], ""3205495930"": [[0, 1]], ""3570608297"": [[8, 2]], ""3570608942"": [[13, 2]], ""3570653043"": [[9, 2]], ""3766532888"": [[5, 1], [7, 1], [12, 1]], ""3766532902"": [[2, 1]], ""3766532953"": [[1, 1], [10, 1], [11, 1]], ""3768571706"": [[3, 1]], ""4196735481"": [[2, 2]], ""4203358485"": [[11, 2]]}",Floral,Spices,Aromatic,Minty,Sweet,Vegetation,Fruity,Nature,Resinous,Grassy,Herbaceous,Woody,Fragrant,,,,,,,,,,,,,,,,,,,,,,,
C=CCOC=O,1838-59-1,4P///wAEAAAMAAAAAAJqglkCzrECJjxqXHIO,"{""0"": [[0, 0], [1, 0], [2, 0], [4, 0]], ""2"": [[3, 0], [5, 0]], ""378238353"": [[4, 2]], ""471520143"": [[1, 2]], ""1090801598"": [[3, 2]], ""3205495930"": [[0, 1]], ""3205496824"": [[5, 1]], ""3766522936"": [[4, 1]], ""3766532902"": [[2, 1]], ""3766532953"": [[1, 1]], ""3768571706"": [[3, 1]], ""4196735481"": [[2, 2]]}",Sweet,Fruity,Chemical,Nature,Hydrocar,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCOCCO,111-45-5,4P///wAEAAAOAAAAAAIA7KUBEC0AsQF8ACY8atIM,"{""0"": [[0, 0], [1, 0], [2, 0], [4, 0], [5, 0]], ""2"": [[3, 0]], ""3"": [[6, 0]], ""471520143"": [[1, 2]], ""1119868269"": [[3, 2]], ""2602707300"": [[5, 2]], ""3205495930"": [[0, 1]], ""3205496825"": [[6, 1]], ""3766532901"": [[5, 1]], ""3766532902"": [[2, 1], [4, 1]], ""3766532953"": [[1, 1]], ""3768571706"": [[3, 1]], ""4196735481"": [[2, 2]], ""4196919014"": [[4, 2]]}",Earthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCOCCc1ccccc1,14289-65-7,4P///wAEAAASAAAAAAIC6pUAmHxOSDSCBQCWAiY8aqI8,"{""0"": [[0, 0], [1, 0], [2, 0], [4, 0], [5, 0]], ""2"": [[3, 0]], ""4"": [[6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0]], ""272448216"": [[5, 2]], ""471520143"": [[1, 2]], ""594405804"": [[6, 1]], ""1119868269"": [[3, 2]], ""1230563926"": [[8, 2], [9, 2], [10, 2]], ""1327368660"": [[6, 2]], ""3205495930"": [[0, 1]], ""3532240404"": [[7, 2], [11, 2]], ""3764344801"": [[7, 1], [8, 1], [9, 1], [10, 1], [11, 1]], ""3766532900"": [[5, 1]], ""3766532902"": [[2, 1], [4, 1]], ""3766532953"": [[1, 1]], ""3768571706"": [[3, 1]], ""4196735481"": [[2, 2]], ""4196918560"": [[4, 2]]}",Sweet,Fruity,Caramel,Green,Earthy,Nature,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCS,870-23-5,4P///wAEAAAHAAAAAATsMQN1A2Z9AAw=,"{""0"": [[0, 0], [1, 0], [2, 0]], ""3"": [[3, 0]], ""471519687"": [[1, 2]], ""3205495930"": [[0, 1]], ""3205496825"": [[3, 1]], ""3766532901"": [[2, 1]], ""3766532953"": [[1, 1]]}",Food,Burnt,Sulp,Septic,Cabbage,Marshy,Vegetables,Non-vegetarian,Sulphur,Chemical,Sickening,Bakery,Cooked,Nature,Hydrocar,Alliaceous,,,,,,,,,,,,,,,,,,,,
C=CCSC,10152-76-8,4P///wAEAAAKAAAAAALukKkAKQCxAiY8auA=,"{""0"": [[0, 0], [1, 0], [2, 0], [4, 0]], ""2"": [[3, 0]], ""471520143"": [[1, 2]], ""1923205486"": [[3, 2]], ""3205495930"": [[0, 1]], ""3205496003"": [[4, 1]], ""3766532902"": [[2, 1]], ""3766532953"": [[1, 1]], ""3768571706"": [[3, 1]], ""4196735481"": [[2, 2]]}",Sulp,Vegetables,Septic,Cabbage,Marshy,Sulphur,Chemical,Sickening,Nature,Hydrocar,Alliaceous,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCSC(=O)CC,41820-22-8,4P///wAEAAAPAAAAAAJ0agz5A/CgqBoKGjxq0A4=,"{""0"": [[0, 0], [1, 0], [2, 0], [4, 0], [6, 0], [7, 0]], ""2"": [[3, 0], [5, 0]], ""471520143"": [[1, 2]], ""614173298"": [[4, 1]], ""679236723"": [[6, 2]], ""1051266860"": [[3, 2]], ""2123333315"": [[4, 2]], ""3205495869"": [[7, 1]], ""3205495930"": [[0, 1]], ""3205496824"": [[5, 1]], ""3766532888"": [[6, 1]], ""3766532902"": [[2, 1]], ""3766532953"": [[1, 1]], ""3768571706"": [[3, 1]], ""4196735481"": [[2, 2]]}",Fresh,Fruity,Vegetables,Septic,Cabbage,Marshy,Other,Sulphur,Sickening,Green,Sulp,Alliaceous,Fragrant,,,,,,,,,,,,,,,,,,,,,,,
C=CCSCC(N)C(=O)O,21593-77-1,4P///wAEAAATAAAAAAAAIAgOsokBHto6+L0AJjxWEhwAwA==,"{""0"": [[0, 0], [1, 0], [2, 0], [4, 0], [5, 0]], ""1"": [[9, 0]], ""2"": [[3, 0], [8, 0]], ""19"": [[6, 0]], ""32"": [[7, 0]], ""150785951"": [[7, 2]], ""175264219"": [[4, 2]], ""471520143"": [[1, 2]], ""605976925"": [[7, 1]], ""614174326"": [[5, 1]], ""1119868269"": [[3, 2]], ""2124129910"": [[5, 2]], ""3205493637"": [[6, 1]], ""3205495832"": [[8, 1]], ""3205495930"": [[0, 1]], ""3205496734"": [[9, 1]], ""3766532902"": [[2, 1], [4, 1]], ""3766532953"": [[1, 1]], ""3768571706"": [[3, 1]], ""4196735481"": [[2, 2]]}",Bakery,Cooked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCSCC=C,592-88-1,4P///wAEAAAJAAAAAALuyQEtALECJjxq4A==,"{""0"": [[0, 0], [1, 0], [2, 0], [4, 0], [5, 0], [6, 0]], ""2"": [[3, 0]], ""471520143"": [[1, 2], [5, 2]], ""1119868269"": [[3, 2]], ""3205495930"": [[0, 1], [6, 1]], ""3766532902"": [[2, 1], [4, 1]], ""3766532953"": [[1, 1], [5, 1]], ""3768571706"": [[3, 1]], ""4196735481"": [[2, 2], [4, 2]]}",Food,Pungent,Sharp,Green,Nature,Foul,Hydrocar,Fruity,Marshy,Sickening,Vegetables,Fragrant,Metallic,Chemical,Alliaceous,Septic,Cabbage,Sulphur,Nose Feel,Sulp,,,,,,,,,,,,,,,,
C=CCSCCC,27817-67-0,4P///wAEAAANAAAAAAJ0eMkBLQBOzjkAGiY8auA=,"{""0"": [[0, 0], [1, 0], [2, 0], [4, 0], [5, 0], [6, 0]], ""2"": [[3, 0]], ""471520143"": [[1, 2]], ""1119868269"": [[3, 2]], ""2602795657"": [[5, 2]], ""3205495869"": [[6, 1]], ""3205495930"": [[0, 1]], ""3766532888"": [[5, 1]], ""3766532902"": [[2, 1], [4, 1]], ""3766532953"": [[1, 1]], ""3768571706"": [[3, 1]], ""4196735481"": [[2, 2]], ""4196921889"": [[4, 2]]}",Fruity,Vegetables,Septic,Cabbage,Marshy,Sulphur,Sickening,Green,Sulp,Alliaceous,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCSSC,2179-58-0,4P///wAEAAALAAAAAALukM0AnQEZAWQuOmh2,"{""0"": [[0, 0], [1, 0], [2, 0], [5, 0]], ""2"": [[3, 0], [4, 0]], ""471520143"": [[1, 2]], ""1092929393"": [[3, 2]], ""1913330271"": [[4, 2]], ""3205495930"": [[0, 1]], ""3205496003"": [[5, 1]], ""3766532902"": [[2, 1]], ""3766532953"": [[1, 1]], ""3768571844"": [[3, 1], [4, 1]], ""4196734327"": [[2, 2]]}",Fruity,Sulp,Vegetables,Septic,Cabbage,Marshy,Sulphur,Chemical,Sickening,Green,Nature,Hydrocar,Alliaceous,Fragrant,,,,,,,,,,,,,,,,,,,,,,
C=CCSSCC=C,2179-57-9,4P///wAEAAAJAAAAAALu8QG5BGQuOmh2,"{""0"": [[0, 0], [1, 0], [2, 0], [5, 0], [6, 0], [7, 0]], ""2"": [[3, 0], [4, 0]], ""471520143"": [[1, 2], [6, 2]], ""1092929393"": [[3, 2], [4, 2]], ""3205495930"": [[0, 1], [7, 1]], ""3766532902"": [[2, 1], [5, 1]], ""3766532953"": [[1, 1], [6, 1]], ""3768571844"": [[3, 1], [4, 1]], ""4196734327"": [[2, 2], [5, 2]]}",Fruity,Sulp,Metallic,Septic,Cabbage,Marshy,Vegetables,Sulphur,Chemical,Sickening,Green,Nature,Nose Feel,Hydrocar,Alliaceous,Fragrant,,,,,,,,,,,,,,,,,,,,
C=CCSSCCC,2179-59-1,4P///wAEAAANAAAAAAJ0ePEBRQJC2BpkLjpodg==,"{""0"": [[0, 0], [1, 0], [2, 0], [5, 0], [6, 0], [7, 0]], ""2"": [[3, 0], [4, 0]], ""471520143"": [[1, 2]], ""1092929393"": [[3, 2], [4, 2]], ""2602795657"": [[6, 2]], ""3205495869"": [[7, 1]], ""3205495930"": [[0, 1]], ""3766532888"": [[6, 1]], ""3766532902"": [[2, 1], [5, 1]], ""3766532953"": [[1, 1]], ""3768571844"": [[3, 1], [4, 1]], ""4196734327"": [[2, 2]], ""4196923051"": [[5, 2]]}",Fruity,Sulp,Vegetables,Septic,Cabbage,Marshy,Sulphur,Chemical,Sickening,Green,Nature,Hydrocar,Alliaceous,Fragrant,,,,,,,,,,,,,,,,,,,,,,
C=CCSSSC,34135-85-8,4P///wAEAAANAAAAAAK0OJAhAFSRAA4FAmRqaHY=,"{""0"": [[0, 0], [1, 0], [2, 0], [6, 0]], ""2"": [[3, 0], [4, 0], [5, 0]], ""471520143"": [[1, 2]], ""1091299868"": [[3, 2]], ""1923707212"": [[5, 2]], ""3205495930"": [[0, 1]], ""3205496003"": [[6, 1]], ""3766531165"": [[4, 1]], ""3766532902"": [[2, 1]], ""3766532953"": [[1, 1]], ""3768571844"": [[3, 1], [5, 1]], ""4071694884"": [[4, 2]], ""4196734327"": [[2, 2]]}",Dairy,Sulp,Vegetables,Septic,Cabbage,Marshy,Sulphur,Chemical,Sickening,Nature,Hydrocar,Alliaceous,,,,,,,,,,,,,,,,,,,,,,,,
C=CCSSSCC=C,2050-87-5,4P///wAEAAALAAAAAAK0OPEBkQAOBQJkamh2,"{""0"": [[0, 0], [1, 0], [2, 0], [6, 0], [7, 0], [8, 0]], ""2"": [[3, 0], [4, 0], [5, 0]], ""471520143"": [[1, 2], [7, 2]], ""1091299868"": [[3, 2], [5, 2]], ""3205495930"": [[0, 1], [8, 1]], ""3766531165"": [[4, 1]], ""3766532902"": [[2, 1], [6, 1]], ""3766532953"": [[1, 1], [7, 1]], ""3768571844"": [[3, 1], [5, 1]], ""4071694884"": [[4, 2]], ""4196734327"": [[2, 2], [6, 2]]}",Fruity,Sulp,Metallic,Septic,Cabbage,Marshy,Vegetables,Sulphur,Chemical,Sickening,Green,Nature,Nose Feel,Hydrocar,Alliaceous,Fragrant,,,,,,,,,,,,,,,,,,,,
C=CCSSSCCC,33922-73-5,4P///wAEAAAPAAAAAAJ0PjjxAZEADshC2Bpkamh2,"{""0"": [[0, 0], [1, 0], [2, 0], [6, 0], [7, 0], [8, 0]], ""2"": [[3, 0], [4, 0], [5, 0]], ""471520143"": [[1, 2]], ""1091299868"": [[3, 2], [5, 2]], ""2602795657"": [[7, 2]], ""3205495869"": [[8, 1]], ""3205495930"": [[0, 1]], ""3766531165"": [[4, 1]], ""3766532888"": [[7, 1]], ""3766532902"": [[2, 1], [6, 1]], ""3766532953"": [[1, 1]], ""3768571844"": [[3, 1], [5, 1]], ""4071694884"": [[4, 2]], ""4196734327"": [[2, 2]], ""4196923051"": [[6, 2]]}",Sulp,Vegetables,Septic,Cabbage,Marshy,Sulphur,Chemical,Sickening,Nature,Hydrocar,Alliaceous,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCSSSSCC=C,2444-49-7,4P///wAEAAALAAAAAAK0OPEBkQA5APRkamh2,"{""0"": [[0, 0], [1, 0], [2, 0], [7, 0], [8, 0], [9, 0]], ""2"": [[3, 0], [4, 0], [5, 0], [6, 0]], ""471520143"": [[1, 2], [8, 2]], ""1091299868"": [[3, 2], [6, 2]], ""3205495930"": [[0, 1], [9, 1]], ""3766531165"": [[4, 1], [5, 1]], ""3766532902"": [[2, 1], [7, 1]], ""3766532953"": [[1, 1], [8, 1]], ""3768571844"": [[3, 1], [6, 1]], ""4183058091"": [[4, 2], [5, 2]], ""4196734327"": [[2, 2], [7, 2]]}",Sulp,Vegetables,Septic,Cabbage,Marshy,Sulphur,Chemical,Sickening,Nature,Hydrocar,Alliaceous,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCS[S+]([O-])CC=C,539-86-6,4P///wAEAAAPAAAAAAKQXO4ZAnJ8MQAwGiY8al6A,"{""0"": [[0, 0], [1, 0], [2, 0], [4, 0], [6, 0], [7, 0], [8, 0]], ""2"": [[3, 0], [5, 0]], ""193902667"": [[6, 2]], ""471520143"": [[1, 2]], ""471558386"": [[7, 2]], ""614173235"": [[4, 1]], ""1051287154"": [[3, 2]], ""2356933375"": [[4, 2]], ""3205495930"": [[0, 1], [8, 1]], ""3205496767"": [[5, 1]], ""3766532888"": [[6, 1]], ""3766532902"": [[2, 1]], ""3766532953"": [[1, 1], [7, 1]], ""3768571706"": [[3, 1]], ""4196735481"": [[2, 2]]}",Alliaceous,Cabbage,Sulphur,Sickening,Vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCc1cc(OC)c(O)c(OC)c1,6627-88-9,4P///wAEAAAVAAAAAAIAAGx8UjziGoJMMhrFAHUABmBWgDQ8,"{""0"": [[0, 0], [1, 0], [2, 0], [7, 0], [12, 0]], ""2"": [[6, 0], [11, 0]], ""3"": [[9, 0]], ""4"": [[3, 0], [4, 0], [5, 0], [8, 0], [10, 0], [13, 0]], ""272447877"": [[2, 2]], ""471509315"": [[1, 2]], ""594405804"": [[3, 1]], ""632956358"": [[4, 2], [13, 2]], ""728943675"": [[5, 1], [10, 1]], ""728945448"": [[8, 1]], ""1327368660"": [[3, 2]], ""2474651957"": [[5, 2], [10, 2]], ""2996632740"": [[8, 2]], ""3205495930"": [[0, 1]], ""3205496003"": [[7, 1], [12, 1]], ""3205496709"": [[9, 1]], ""3764344801"": [[4, 1], [13, 1]], ""3766532900"": [[2, 1]], ""3766532953"": [[1, 1]], ""3768571846"": [[6, 1], [11, 1]], ""3904068230"": [[6, 2], [11, 2]]}",Floral,Food,Phenolic,People & animals,Sweet,Burnt,Non-vegetarian,Sickening,Bakery,Nature,Resinous,Medicinal,Grassy,Smokey,Woody,Fragrant,,,,,,,,,,,,,,,,,,,,
C=CCc1cc(OC)c(OC)c(OC)c1,487-11-6,4P///wAEAAASAAAAAAICbHyQoCI4gkwyGsUAdQBo2DQ8,"{""0"": [[0, 0], [1, 0], [2, 0], [7, 0], [10, 0], [13, 0]], ""2"": [[6, 0], [9, 0], [12, 0]], ""4"": [[3, 0], [4, 0], [5, 0], [8, 0], [11, 0], [14, 0]], ""272447877"": [[2, 2]], ""471509315"": [[1, 2]], ""594405804"": [[3, 1]], ""632956358"": [[4, 2], [14, 2]], ""728943675"": [[5, 1], [8, 1], [11, 1]], ""1327368660"": [[3, 2]], ""2474987814"": [[5, 2], [11, 2]], ""3205495930"": [[0, 1]], ""3205496003"": [[7, 1], [10, 1], [13, 1]], ""3429944596"": [[8, 2]], ""3764344801"": [[4, 1], [14, 1]], ""3766532900"": [[2, 1]], ""3766532953"": [[1, 1]], ""3768571846"": [[6, 1], [9, 1], [12, 1]], ""3904068230"": [[6, 2], [9, 2], [12, 2]]}",Floral,Spices,Food,Nature,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCc1cc(OC)c2c(c1)OCO2,607-91-0,4P///wAEAAAVAAAAAAICbHwIhqAiOIJMMhrFAGbSaFCGNDw=,"{""0"": [[0, 0], [1, 0], [2, 0], [7, 0], [12, 0]], ""2"": [[6, 0], [11, 0], [13, 0]], ""4"": [[3, 0], [4, 0], [5, 0], [8, 0], [9, 0], [10, 0]], ""272447877"": [[2, 2]], ""471509315"": [[1, 2]], ""594405804"": [[3, 1]], ""632956358"": [[4, 2], [10, 2]], ""728943675"": [[5, 1], [9, 1], [8, 1]], ""1327368660"": [[3, 2]], ""2474987814"": [[5, 2], [9, 2]], ""3205495930"": [[0, 1]], ""3205496003"": [[7, 1]], ""3391287994"": [[11, 2], [13, 2]], ""3429944596"": [[8, 2]], ""3764344801"": [[4, 1], [10, 1]], ""3766523007"": [[12, 1]], ""3766532900"": [[2, 1]], ""3766532953"": [[1, 1]], ""3768571846"": [[6, 1], [11, 1], [13, 1]], ""3904068230"": [[6, 2]], ""4103022466"": [[12, 2]]}",Spices,Food,Sweet,Resinous,Grassy,Balsamic,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCc1cc(OC)c2c(c1OC)OCO2,523-80-8,4P///wAEAAAWAAAAAAICbCxOCIagIjg8REwy/QBm0mhQhjQ8,"{""0"": [[0, 0], [1, 0], [2, 0], [7, 0], [12, 0], [14, 0]], ""2"": [[6, 0], [11, 0], [13, 0], [15, 0]], ""4"": [[3, 0], [4, 0], [5, 0], [8, 0], [9, 0], [10, 0]], ""272447877"": [[2, 2]], ""471509315"": [[1, 2]], ""594405804"": [[3, 1]], ""632956358"": [[4, 2]], ""728943675"": [[5, 1], [9, 1], [10, 1], [8, 1]], ""2162595922"": [[3, 2]], ""2474987814"": [[5, 2]], ""3205495930"": [[0, 1]], ""3205496003"": [[7, 1], [12, 1]], ""3391287994"": [[13, 2], [15, 2]], ""3429944596"": [[8, 2], [9, 2]], ""3433159010"": [[10, 2]], ""3764344801"": [[4, 1]], ""3766523007"": [[14, 1]], ""3766532900"": [[2, 1]], ""3766532953"": [[1, 1]], ""3768571846"": [[6, 1], [11, 1], [13, 1], [15, 1]], ""3904068230"": [[6, 2], [11, 2]], ""4103022466"": [[14, 2]]}",Aromatic,Vegetation,Resinous,Herbaceous,Woody,Vegetables,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=CCc1cc2c(c(OC)c1OC)OCO2,484-31-1,4P///wAEAAAWAAAAAAICbCxOCIagIjg8REwy/QBm0mhQhjQ8,"{""0"": [[0, 0], [1, 0], [2, 0], [9, 0], [12, 0], [14, 0]], ""2"": [[8, 0], [11, 0], [13, 0], [15, 0]], ""4"": [[3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [10, 0]], ""272447877"": [[2, 2]], ""471509315"": [[1, 2]], ""594405804"": [[3, 1]], ""632956358"": [[4, 2]], ""728943675"": [[7, 1], [6, 1], [10, 1], [5, 1]], ""2162595922"": [[3, 2]], ""2474987814"": [[5, 2]], ""3205495930"": [[0, 1]], ""3205496003"": [[9, 1], [12, 1]], ""3391287994"": [[13, 2], [15, 2]], ""3429944596"": [[7, 2], [6, 2]], ""3433159010"": [[10, 2]], ""3764344801"": [[4, 1]], ""3766523007"": [[14, 1]], ""3766532900"": [[2, 1]], ""3766532953"": [[1, 1]], ""3768571846"": [[8, 1], [11, 1], [13, 1], [15, 1]], ""3904068230"": [[8, 2], [11, 2]], ""4103022466"": [[14, 2]]}",Spices,Food,Resinous,Grassy,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
