standardized_smiles,CAS-Id,fcfp_compact,fcfp_environments,odor_1,odor_2,odor_3,odor_4,odor_5,odor_6,odor_7,odor_8,odor_9,odor_10,odor_11,odor_12,odor_13,odor_14,odor_15,odor_16,odor_17,odor_18,odor_19,odor_20,odor_21,odor_22,odor_23,odor_24,odor_25,odor_26,odor_27,odor_28,odor_29,odor_30,odor_31,odor_32,odor_33,odor_34,odor_35,odor_36
C1CC2C3CC(C2C1)C1(CCCO1)C3,68480-11-5,4P///wAEAAATAAAAAAIdAFUAtKgwZgYIutQYNhoOFpQc1g==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [13, 0]], ""2"": [[12, 0]], ""193992059"": [[1, 2], [7, 2]], ""614176388"": [[5, 1], [2, 1], [6, 1], [3, 1]], ""684899220"": [[13, 2]], ""1015497605"": [[3, 2]], ""1334060783"": [[4, 2]], ""2260550794"": [[12, 2]], ""2407446268"": [[9, 2]], ""3123271197"": [[8, 2]], ""3208849897"": [[8, 1]], ""3279977760"": [[5, 2]], ""3570608942"": [[6, 2], [2, 2]], ""3766532888"": [[1, 1], [4, 1], [9, 1], [10, 1], [0, 1], [7, 1], [13, 1]], ""3766532902"": [[11, 1]], ""3768571706"": [[12, 1]], ""4196921889"": [[11, 2]], ""4203102758"": [[10, 2]], ""4203103696"": [[0, 2]]}",Floral,Lemon,Fresh,Fruity,Nature,Citrus,Woody,Vegetables,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CCC(SSC2CCCCC2)CC1,2550-40-5,4P///wAEAAAJAAAAAALlAYo1ADEAWDUArQB2,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0]], ""2"": [[4, 0], [5, 0]], ""193991932"": [[2, 2], [12, 2], [7, 2], [11, 2]], ""614176394"": [[3, 1], [6, 1]], ""1027514690"": [[4, 2], [5, 2]], ""2301445725"": [[3, 2], [6, 2]], ""3766532888"": [[1, 1], [2, 1], [7, 1], [8, 1], [9, 1], [10, 1], [12, 1], [0, 1], [13, 1], [11, 1]], ""3768571844"": [[4, 1], [5, 1]], ""4203103696"": [[8, 2], [9, 2], [1, 2], [0, 2], [13, 2], [10, 2]]}",Food,Vegetables,Nutty,Septic,Restaurant,Marshy,Sickening,Nature,Poultry,Sulp,Alliaceous,People & animals,,,,,,,,,,,,,,,,,,,,,,,,
C1CCCC2(CCC1)CCCO2,62079-29-2,4P///wAEAAAMAAAAAAIdABUDMG4I/qo2GiYVAQ==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0]], ""2"": [[11, 0]], ""2260550794"": [[11, 2]], ""2407446268"": [[3, 2], [5, 2], [8, 2]], ""3208849897"": [[4, 1]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [5, 1], [6, 1], [8, 1], [9, 1], [0, 1], [7, 1]], ""3766532902"": [[10, 1]], ""3768571706"": [[11, 1]], ""4196921889"": [[10, 2]], ""4203102758"": [[9, 2]], ""4203103696"": [[2, 2], [1, 2], [0, 2], [7, 2], [6, 2]], ""4254497446"": [[4, 2]]}",Floral,Solvent,Fuel,Hydrocarbo,Resinous,Grassy,Gas Station,Woody,People & animals,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CCCCCC2COCC2CCCC1,42824-62-4,4P///wAEAAALAAAAAAIgEQMoGqjNAE0AGiYVAQ==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 0]], ""2"": [[8, 0]], ""174871896"": [[7, 2], [9, 2]], ""193992059"": [[5, 2], [11, 2]], ""614176388"": [[6, 1], [10, 1]], ""1015496723"": [[6, 2], [10, 2]], ""1119868269"": [[8, 2]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [11, 1], [12, 1], [13, 1], [0, 1], [14, 1]], ""3766532902"": [[7, 1], [9, 1]], ""3768571706"": [[8, 1]], ""4203103696"": [[2, 2], [3, 2], [4, 2], [12, 2], [1, 2], [0, 2], [14, 2], [13, 2]]}",Sweet,Vegetation,Mossy woods,Soft oriental,Resinous,Grassy,Dry,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CCNC1,123-75-1,4P///wAEAAAIAAAAACR5A/kA/M40AikB,"{""0"": [[0, 0], [1, 0], [2, 0], [4, 0]], ""19"": [[3, 0]], ""91135664"": [[3, 2]], ""3766532888"": [[1, 1], [0, 1]], ""3766532917"": [[2, 1], [4, 1]], ""3766674802"": [[3, 1]], ""4203102769"": [[1, 2], [0, 2]], ""4203214643"": [[2, 2], [4, 2]]}",Food,Rancid,Ammonia,Vegetation,Chemical,Nature,Fishy,Poultry,Hydrocar,People & animals,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CCNCC1,110-89-4,4P///wAEAAAJAAAAACR5A7rA/M40AikB,"{""0"": [[0, 0], [1, 0], [2, 0], [4, 0], [5, 0]], ""19"": [[3, 0]], ""91135664"": [[3, 2]], ""3766532888"": [[1, 1], [0, 1], [5, 1]], ""3766532917"": [[2, 1], [4, 1]], ""3766674802"": [[3, 1]], ""4203102769"": [[1, 2], [5, 2]], ""4203103696"": [[0, 2]], ""4203214643"": [[2, 2], [4, 2]]}",Floral,Food,People & animals,Rancid,Ammonia,Sweet,Nature,Fishy,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CCSC1,110-01-0,4P///wAEAAAIAAAAAAKpA80ACMUBGiYVAQ==,"{""0"": [[0, 0], [1, 0], [2, 0], [4, 0]], ""2"": [[3, 0]], ""1119868269"": [[3, 2]], ""3766532888"": [[1, 1], [0, 1]], ""3766532902"": [[2, 1], [4, 1]], ""3768571706"": [[3, 1]], ""4196921889"": [[2, 2], [4, 2]], ""4203102758"": [[1, 2], [0, 2]]}",Sulp,Septic,Cabbage,Marshy,Sulphur,Chemical,Sickening,Nature,Foul,Hydrocar,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CNCCN1,110-85-0,4P///wAEAAAGAAAAACR5A5UAXQARACkB,"{""0"": [[0, 0], [1, 0], [3, 0], [4, 0]], ""19"": [[2, 0], [5, 0]], ""91135664"": [[2, 2], [5, 2]], ""3766532917"": [[1, 1], [3, 1], [4, 1], [0, 1]], ""3766674802"": [[2, 1], [5, 1]], ""4203114008"": [[3, 2], [1, 2], [0, 2], [4, 2]]}",Fishy,Ammonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CSCCS1,505-29-3,4P///wAEAAAGAAAAAAKpA+UC/CYVAQ==,"{""0"": [[0, 0], [1, 0], [3, 0], [4, 0]], ""2"": [[2, 0], [5, 0]], ""1119868269"": [[2, 2], [5, 2]], ""3766532902"": [[1, 1], [3, 1], [4, 1], [0, 1]], ""3768571706"": [[2, 1], [5, 1]], ""4196918951"": [[3, 2], [1, 2], [0, 2], [4, 2]]}",Food,Nature,Earthy,Foul,Hydrocar,Rancid,Marshy,Hydrocarbo,Sickening,Gas Station,Vegetables,People & animals,Fuel,Ammonia,Non-vegetarian,Chemical,Alliaceous,Solvent,Septic,Cabbage,Sulphur,Fishy,Sulp,,,,,,,,,,,,,
C1CSCS1,4829-04--3,4P///wAEAAAIAAAAAAL4eqUC/QD8JhUB,"{""0"": [[0, 0], [1, 0], [3, 0]], ""2"": [[2, 0], [4, 0]], ""1090821607"": [[2, 2], [4, 2]], ""3766523007"": [[3, 1]], ""3766532902"": [[1, 1], [0, 1]], ""3768571706"": [[2, 1], [4, 1]], ""4102540477"": [[3, 2]], ""4196918951"": [[1, 2], [0, 2]]}",Sweet,Sulp,Vegetables,Septic,Cabbage,Marshy,Sulphur,Chemical,Sickening,Cooked,Nature,Hydrocar,Alliaceous,Fragrant,,,,,,,,,,,,,,,,,,,,,,
