standardized_smiles,CAS-Id,fcfp_compact,fcfp_environments,odor_1,odor_2,odor_3,odor_4,odor_5,odor_6,odor_7,odor_8,odor_9,odor_10,odor_11,odor_12,odor_13,odor_14,odor_15,odor_16,odor_17,odor_18,odor_19,odor_20,odor_21,odor_22,odor_23,odor_24,odor_25,odor_26,odor_27
C1CC2C3CC(C2C1)C1(CCCO1)C3,68480-11-5,4P///wAEAAATAAAAAAIdAFUAtKgwZgYIutQYNhoOFpQc1g==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [13, 0]], ""2"": [[12, 0]], ""193992059"": [[1, 2], [7, 2]], ""614176388"": [[5, 1], [2, 1], [6, 1], [3, 1]], ""684899220"": [[13, 2]], ""1015497605"": [[3, 2]], ""1334060783"": [[4, 2]], ""2260550794"": [[12, 2]], ""2407446268"": [[9, 2]], ""3123271197"": [[8, 2]], ""3208849897"": [[8, 1]], ""3279977760"": [[5, 2]], ""3570608942"": [[6, 2], [2, 2]], ""3766532888"": [[1, 1], [4, 1], [9, 1], [10, 1], [0, 1], [7, 1], [13, 1]], ""3766532902"": [[11, 1]], ""3768571706"": [[12, 1]], ""4196921889"": [[11, 2]], ""4203102758"": [[10, 2]], ""4203103696"": [[0, 2]]}",Fresh,Gardenia,Rhubarb,Grapefruit,Citrus,Vetiver,Floral,,,,,,,,,,,,,,,,,,,,
C1CCC(SSC2CCCCC2)CC1,2550-40-5,4P///wAEAAAJAAAAAALlAYo1ADEAWDUArQB2,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0]], ""2"": [[4, 0], [5, 0]], ""193991932"": [[2, 2], [12, 2], [7, 2], [11, 2]], ""614176394"": [[3, 1], [6, 1]], ""1027514690"": [[4, 2], [5, 2]], ""2301445725"": [[3, 2], [6, 2]], ""3766532888"": [[1, 1], [2, 1], [7, 1], [8, 1], [9, 1], [10, 1], [12, 1], [0, 1], [13, 1], [11, 1]], ""3768571844"": [[4, 1], [5, 1]], ""4203103696"": [[8, 2], [9, 2], [1, 2], [0, 2], [13, 2], [10, 2]]}",Onion,Alliaceous,Coffee,Eggs,Nutty,Sea,Clam,Food,,,,,,,,,,,,,,,,,,,
C1CCCC2(CCC1)CCCO2,62079-29-2,4P///wAEAAAMAAAAAAIdABUDMG4I/qo2GiYVAQ==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0]], ""2"": [[11, 0]], ""2260550794"": [[11, 2]], ""2407446268"": [[3, 2], [5, 2], [8, 2]], ""3208849897"": [[4, 1]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [5, 1], [6, 1], [8, 1], [9, 1], [0, 1], [7, 1]], ""3766532902"": [[10, 1]], ""3768571706"": [[11, 1]], ""4196921889"": [[10, 2]], ""4203102758"": [[9, 2]], ""4203103696"": [[2, 2], [1, 2], [0, 2], [7, 2], [6, 2]], ""4254497446"": [[4, 2]]}",Woody,Animal,Moth Balls,Cistus,Saffron,,,,,,,,,,,,,,,,,,,,,,
C1CCCCCC2COCC2CCCC1,42824-62-4,4P///wAEAAALAAAAAAIgEQMoGqjNAE0AGiYVAQ==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 0]], ""2"": [[8, 0]], ""174871896"": [[7, 2], [9, 2]], ""193992059"": [[5, 2], [11, 2]], ""614176388"": [[6, 1], [10, 1]], ""1015496723"": [[6, 2], [10, 2]], ""1119868269"": [[8, 2]], ""3766532888"": [[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [11, 1], [12, 1], [13, 1], [0, 1], [14, 1]], ""3766532902"": [[7, 1], [9, 1]], ""3768571706"": [[8, 1]], ""4203103696"": [[2, 2], [3, 2], [4, 2], [12, 2], [1, 2], [0, 2], [14, 2], [13, 2]]}",Woody,Old wood,Warm,Amber,Dry,,,,,,,,,,,,,,,,,,,,,,
C1CCNC1,123-75-1,4P///wAEAAAIAAAAACR5A/kA/M40AikB,"{""0"": [[0, 0], [1, 0], [2, 0], [4, 0]], ""19"": [[3, 0]], ""91135664"": [[3, 2]], ""3766532888"": [[1, 1], [0, 1]], ""3766532917"": [[2, 1], [4, 1]], ""3766674802"": [[3, 1]], ""4203102769"": [[1, 2], [0, 2]], ""4203214643"": [[2, 2], [4, 2]]}",Animal,Alkane,Fishy,Ammonia,Eggs,Weed,Sea,,,,,,,,,,,,,,,,,,,,
C1CCNCC1,110-89-4,4P///wAEAAAJAAAAACR5A7rA/M40AikB,"{""0"": [[0, 0], [1, 0], [2, 0], [4, 0], [5, 0]], ""19"": [[3, 0]], ""91135664"": [[3, 2]], ""3766532888"": [[1, 1], [0, 1], [5, 1]], ""3766532917"": [[2, 1], [4, 1]], ""3766674802"": [[3, 1]], ""4203102769"": [[1, 2], [5, 2]], ""4203103696"": [[0, 2]], ""4203214643"": [[2, 2], [4, 2]]}",Sweet,Animal,Fishy,Ammonia,Floral,,,,,,,,,,,,,,,,,,,,,,
C1CCSC1,110-01-0,4P///wAEAAAIAAAAAAKpA80ACMUBGiYVAQ==,"{""0"": [[0, 0], [1, 0], [2, 0], [4, 0]], ""2"": [[3, 0]], ""1119868269"": [[3, 2]], ""3766532888"": [[1, 1], [0, 1]], ""3766532902"": [[2, 1], [4, 1]], ""3768571706"": [[3, 1]], ""4196921889"": [[2, 2], [4, 2]], ""4203102758"": [[1, 2], [0, 2]]}",Cabbage,Sulphurous,Stench,,,,,,,,,,,,,,,,,,,,,,,,
C1CNCCN1,110-85-0,4P///wAEAAAGAAAAACR5A5UAXQARACkB,"{""0"": [[0, 0], [1, 0], [3, 0], [4, 0]], ""19"": [[2, 0], [5, 0]], ""91135664"": [[2, 2], [5, 2]], ""3766532917"": [[1, 1], [3, 1], [4, 1], [0, 1]], ""3766674802"": [[2, 1], [5, 1]], ""4203114008"": [[3, 2], [1, 2], [0, 2], [4, 2]]}",Ammonia,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CSCCS1,505-29-3,4P///wAEAAAGAAAAAAKpA+UC/CYVAQ==,"{""0"": [[0, 0], [1, 0], [3, 0], [4, 0]], ""2"": [[2, 0], [5, 0]], ""1119868269"": [[2, 2], [5, 2]], ""3766532902"": [[1, 1], [3, 1], [4, 1], [0, 1]], ""3768571706"": [[2, 1], [5, 1]], ""4196918951"": [[3, 2], [1, 2], [0, 2], [4, 2]]}",Oyster,Food,Sulphurous,Solvent,Onion,Fishy,Mushroom,Turkey,Pyridine,Fermented,Sea,Clam,Garlic,,,,,,,,,,,,,,
C1CSCS1,4829-04--3,4P///wAEAAAIAAAAAAL4eqUC/QD8JhUB,"{""0"": [[0, 0], [1, 0], [3, 0]], ""2"": [[2, 0], [4, 0]], ""1090821607"": [[2, 2], [4, 2]], ""3766523007"": [[3, 1]], ""3766532902"": [[1, 1], [0, 1]], ""3768571706"": [[2, 1], [4, 1]], ""4102540477"": [[3, 2]], ""4196918951"": [[1, 2], [0, 2]]}",Onion,Cooked,Sulphurous,Sweet,,,,,,,,,,,,,,,,,,,,,,,
C1CSCSC1,505-23-7,4P///wAEAAAKAAAAAAL4eqUCci0A1BomFQE=,"{""0"": [[0, 0], [1, 0], [3, 0], [5, 0]], ""2"": [[2, 0], [4, 0]], ""1090821607"": [[2, 2], [4, 2]], ""3766523007"": [[3, 1]], ""3766532888"": [[0, 1]], ""3766532902"": [[1, 1], [5, 1]], ""3768571706"": [[2, 1], [4, 1]], ""4102540477"": [[3, 2]], ""4196921889"": [[1, 2], [5, 2]], ""4203101869"": [[0, 2]]}",Roasted,Alliaceous,,,,,,,,,,,,,,,,,,,,,,,,,
C1SCSS1,289-16-7,4P///wAEAAAIAAAAAAIO6J0AUKUFJQB2,"{""0"": [[0, 0], [2, 0]], ""2"": [[1, 0], [3, 0], [4, 0]], ""1090875402"": [[1, 2]], ""1095986512"": [[4, 2], [3, 2]], ""3766523007"": [[2, 1], [0, 1]], ""3768571706"": [[1, 1]], ""3768571844"": [[3, 1], [4, 1]], ""4102533415"": [[2, 2], [0, 2]]}",Sulphurous,Mushroom,Roasted,Beefy,Garlic,,,,,,,,,,,,,,,,,,,,,,
C1SSCSSS1,292-46-6,4P///wAEAAAJAAAAAAI4eh4iQQFNAX0Edg==,"{""0"": [[0, 0], [3, 0]], ""2"": [[1, 0], [2, 0], [4, 0], [5, 0], [6, 0]], ""1095986512"": [[2, 2], [1, 2]], ""1122857069"": [[4, 2], [6, 2]], ""3766523007"": [[3, 1], [0, 1]], ""3766531165"": [[5, 1]], ""3768571844"": [[1, 1], [2, 1], [4, 1], [6, 1]], ""4071694884"": [[5, 2]], ""4103021599"": [[3, 2], [0, 2]]}",Mushroom,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C(C)C(C)O)C(C)C(C)(C)C,81787-06-6,4P///wAEAAAOAAAAAAQQYHj5AfL4JiRWeQGoAgw=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0]], ""3"": [[6, 0]], ""614176388"": [[2, 1], [7, 1]], ""614176407"": [[4, 1]], ""614176451"": [[1, 1]], ""968722444"": [[9, 2]], ""2353406576"": [[4, 2]], ""2395275255"": [[7, 2]], ""3205495869"": [[3, 1], [5, 1], [8, 1], [10, 1], [11, 1], [12, 1]], ""3205495930"": [[0, 1]], ""3205496825"": [[6, 1]], ""3208849907"": [[9, 1]], ""4112587129"": [[1, 2]], ""4197307298"": [[2, 2]]}",Woody,Amber,Clean,Dry,Vetiver,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C(=O)OC,80-62-6,4P///wAEAAAMAAAAAAJcFniQRrUAcQGg7PUADg==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [6, 0]], ""2"": [[4, 0], [5, 0]], ""319443175"": [[3, 2]], ""614173298"": [[3, 1]], ""614176451"": [[1, 1]], ""2372740145"": [[1, 2]], ""3205495869"": [[2, 1]], ""3205495930"": [[0, 1]], ""3205496003"": [[6, 1]], ""3205496824"": [[4, 1]], ""3677801877"": [[5, 2]], ""3768571706"": [[5, 1]]}",Acrylic,Aromatic,Fruity,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C(=O)OCC,97-63-2,4P///wAEAAANAAAAAAJcFnjYcQC1AaDEChr1AA4=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [6, 0], [7, 0]], ""2"": [[4, 0], [5, 0]], ""319443175"": [[3, 2]], ""614173298"": [[3, 1]], ""614176451"": [[1, 1]], ""1051266860"": [[5, 2]], ""2372740145"": [[1, 2]], ""2558574980"": [[6, 2]], ""3205495869"": [[2, 1], [7, 1]], ""3205495930"": [[0, 1]], ""3205496824"": [[4, 1]], ""3766532902"": [[6, 1]], ""3768571706"": [[5, 1]]}",Acrylic,Apple,Pungent,Camomile,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C(CC(=O)O)CC(=O)O,6839-75-4,4P///wAEAAAQAAAAAAAAFBQOOHgdATTU2pp8aQEyjg==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [8, 0]], ""1"": [[7, 0], [11, 0]], ""2"": [[6, 0], [10, 0]], ""32"": [[5, 0], [9, 0]], ""605976925"": [[5, 1], [9, 1]], ""614176388"": [[3, 1]], ""614176451"": [[1, 1]], ""1016734152"": [[3, 2]], ""1212801037"": [[4, 2], [8, 2]], ""1714334018"": [[5, 2], [9, 2]], ""2208667190"": [[1, 2]], ""3205495832"": [[6, 1], [10, 1]], ""3205495869"": [[2, 1]], ""3205495930"": [[0, 1]], ""3205496734"": [[7, 1], [11, 1]], ""3766533048"": [[4, 1], [8, 1]]}",Savory,Cooked,Roasted,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C(CCC(C)=O)CC(=O)O,4436-82-2,4P///wAEAAAWAAAAAAAAFBQOOHjSFqI0HBzpAJp8CpwVADJ+Dg==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [9, 0]], ""1"": [[12, 0]], ""2"": [[8, 0], [11, 0]], ""32"": [[10, 0]], ""193987812"": [[5, 2]], ""193992059"": [[4, 2]], ""605976925"": [[10, 1]], ""614176388"": [[3, 1]], ""614176451"": [[1, 1]], ""614176457"": [[6, 1]], ""1016847600"": [[3, 2]], ""1212801037"": [[9, 2]], ""1699286380"": [[6, 2]], ""1714334018"": [[10, 2]], ""2208667190"": [[1, 2]], ""3205495832"": [[11, 1]], ""3205495869"": [[2, 1], [7, 1]], ""3205495930"": [[0, 1]], ""3205496734"": [[12, 1]], ""3205496824"": [[8, 1]], ""3766532888"": [[4, 1], [5, 1]], ""3766533048"": [[9, 1]]}",Floral,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C(CO)CC=C(C)C,498-16-8/58461-27-1,4P///wAEAAAQAAAAAARyIlQlAEwpAnwcfKgYZpygDA==,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0]], ""3"": [[5, 0]], ""193988868"": [[6, 2]], ""614176388"": [[3, 1]], ""614176451"": [[1, 1], [8, 1]], ""679263144"": [[4, 2]], ""1016846415"": [[3, 2]], ""2208667190"": [[1, 2]], ""2794852651"": [[7, 2]], ""3205495869"": [[2, 1], [9, 1], [10, 1]], ""3205495930"": [[0, 1]], ""3205496825"": [[5, 1]], ""3210382965"": [[8, 2]], ""3766532888"": [[6, 1]], ""3766532901"": [[4, 1]], ""3766532953"": [[7, 1]]}",Waxy,Herbal,Floral,Mimosa,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C(O)CCC(C)CCO,22460-95-3,4P///wAEAAARAAAAAARyeAEChjwWkKAkVgiMEBhNAQw=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0]], ""3"": [[4, 0], [11, 0]], ""193989320"": [[9, 2]], ""193992059"": [[6, 2]], ""193992243"": [[5, 2]], ""614176388"": [[7, 1]], ""614176407"": [[3, 1]], ""614176451"": [[1, 1]], ""2110141918"": [[7, 2]], ""2208650687"": [[1, 2]], ""2602707434"": [[10, 2]], ""2949327631"": [[3, 2]], ""3205495869"": [[2, 1], [8, 1]], ""3205495930"": [[0, 1]], ""3205496825"": [[4, 1], [11, 1]], ""3766532888"": [[5, 1], [6, 1], [9, 1]], ""3766532901"": [[10, 1]]}",Rose,Floral,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1=CC=C(C)CC1,18368-95-1,4P///wAEAAALAAAAAHh4tQGE7mEADKiAeNI=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0]], ""193987944"": [[9, 2], [8, 2]], ""614176451"": [[1, 1], [6, 1], [3, 1]], ""964846268"": [[3, 2]], ""2059618198"": [[6, 2]], ""2208402979"": [[1, 2]], ""2794908075"": [[5, 2], [4, 2]], ""3205495869"": [[2, 1], [7, 1]], ""3205495930"": [[0, 1]], ""3766532888"": [[8, 1], [9, 1]], ""3766532953"": [[4, 1], [5, 1]]}",Woody,Pine,Turpentine,Cool,Thyme,Terpenic,Camphor,Herbal,Tropical,Oily,Chemical,,,,,,,,,,,,,,,,
C=C(C)C1C=C2C(C)CCC2C(C)CC1,22567-17-5,4P///wAEAAAPAAAAAHhWIKK5AOkAmnyOGE4wfIxA,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 0]], ""193992059"": [[8, 2], [14, 2], [13, 2], [9, 2]], ""614176388"": [[6, 1], [11, 1], [3, 1], [10, 1]], ""614176451"": [[1, 1], [5, 1]], ""1016848139"": [[3, 2]], ""1335794496"": [[4, 2]], ""2208667190"": [[1, 2]], ""2819051724"": [[6, 2]], ""2824030313"": [[11, 2]], ""3205495869"": [[2, 1], [7, 1], [12, 1]], ""3205495930"": [[0, 1]], ""3570554847"": [[10, 2]], ""3618527128"": [[5, 2]], ""3766532888"": [[8, 1], [9, 1], [13, 1], [14, 1]], ""3766532953"": [[4, 1]]}",Earthy,Moldy,Musty,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1C=CC(C)(O)CC1,22771-44-4/7212-40-0,4P///wAEAAARAAAAAARaFmQSAQLkjpp8jhhCGiB9AAw=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [9, 0], [10, 0]], ""3"": [[8, 0]], ""25354056"": [[6, 2]], ""193992059"": [[10, 2]], ""195736378"": [[4, 2]], ""614176388"": [[3, 1]], ""614176451"": [[1, 1]], ""1016848139"": [[3, 2]], ""2208667190"": [[1, 2]], ""2390926448"": [[5, 2]], ""2407446577"": [[9, 2]], ""3205495869"": [[2, 1], [7, 1]], ""3205495930"": [[0, 1]], ""3205496825"": [[8, 1]], ""3208849902"": [[6, 1]], ""3766532888"": [[9, 1], [10, 1]], ""3766532953"": [[4, 1], [5, 1]]}",Minty,Fresh,Terpenic,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1C=CC(C)=CC1,21195-59-5,4P///wAEAAAOAAAAAHh4WrZMKQKafI4YQjweWQA=,"{""0"": [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0]], ""193988868"": [[9, 2]], ""195724137"": [[5, 2]], ""195736378"": [[4, 2]], ""614176388"": [[3, 1]], ""614176451"": [[1, 1], [6, 1]], ""1016848139"": [[3, 2]], ""2059826344"": [[6, 2]], ""2208667190"": [[1, 2]], ""2794852651"": [[8, 2]], ""3205495869"": [[2, 1], [7, 1]], ""3205495930"": [[0, 1]], ""3766532888"": [[9, 1]], ""3766532953"": [[4, 1], [5, 1], [8, 1]]}",Roasted,,,,,,,,,,,,,,,,,,,,,,,,,,
