standardized_smiles,odor_2,odor_3,odor_4,odor_5,odor_6,odor_7,odor_8,odor_9,odor_10,odor_11,odor_12,odor_13,odor_14,odor_15,odor_16,odor_17,odor_18,odor_19,odor_20,odor_21,odor_22,odor_23,odor_24,odor_25,odor_26,odor_27,odor_28,odor_29,odor_30,odor_31,odor_32,odor_33,odor_34,odor_35,odor_36,odor_37
C1CCCC2(CCC1)CCCO2,Fuel,Hydrocarbo,Woody,Solvent,Resinous,Grassy,Gas Station,People & animals,Floral,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CCCCCC2COCC2CCCC1,Dry,Vegetation,Woody,Soft oriental,Resinous,Grassy,Mossy woods,Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CCNC1,Fishy,Rancid,Food,Vegetation,Ammonia,Nature,Poultry,Chemical,Hydrocar,People & animals,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CCNCC1,Fishy,Rancid,Food,Ammonia,Nature,Sweet,Fragrant,People & animals,Floral,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CCSC1,Septic,Nature,Foul,Sulp,Hydrocar,Cabbage,Chemical,Marshy,Sulphur,Sickening,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CNCCN1,Fishy,Ammonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CSCCS1,Septic,Vegetables,Ammonia,Fuel,Hydrocarbo,Chemical,Sickening,Fishy,Food,Earthy,Sulp,Solvent,Alliaceous,Hydrocar,Non-vegetarian,People & animals,Rancid,Foul,Gas Station,Sulphur,Nature,Cabbage,Marshy,,,,,,,,,,,,,
C1CSCS1,Septic,Marshy,Vegetables,Nature,Cooked,Sulp,Cabbage,Chemical,Alliaceous,Sweet,Hydrocar,Fragrant,Sulphur,Sickening,,,,,,,,,,,,,,,,,,,,,,
C1CSCSC1,Bakery,Alliaceous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1SCSS1,Septic,Earthy,Marshy,Vegetables,Nature,Restaurant,Sulp,Cabbage,Chemical,Alliaceous,Hydrocar,Non-vegetarian,Bakery,Sulphur,Sickening,,,,,,,,,,,,,,,,,,,,,
C1SSCSSS1,Earthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C(C)C(C)O)C(C)C(C)(C)C,Dry,Clean,Woody,Soft oriental,Resinous,Grassy,Mossy woods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C(=O)OC,Fruity,Nature,Aromatic,Synthetic,Woody,Minty,Non-citrus fruity,Resinous,Sweet,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C(=O)OCC,Pungent,Fruity,Nose Feel,Synthetic,Foul,Sharp,Floral,Sickening,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C(CC(=O)O)CC(=O)O,Cooked,Bakery,Salty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C(CCC(C)=O)CC(=O)O,Fragrant,Floral,Nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C(CO)CC=C(C)C,Herbaceous,Vegetation,Aromatic,Nature,Woody,Waxy,Resinous,Fragrant,Floral,Beverage,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C(O)CCC(C)CCO,Fragrant,Floral,Nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1=CC=C(C)CC1,Plants,Non-food items,Vegetation,Fruity,Aromatic,Vegetables,Lemon,Pine,Hydrocarbo,Woody,Minty,Lem,Solvent,Resinous,Grassy,Fragrant,Terpenes,Herbaceous,,,,,,,,,,,,,,,,,,
C=C(C)C1C=C2C(C)CCC2C(C)CC1,Earthy,Pungent,Mol,Woody,Musty,Resinous,Sharp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1C=CC(C)(O)CC1,Fresh,Terpenes,Sweet,Lem,Pine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1C=CC(C)=CC1,Bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1C=CC2=CC(=O)CC(C)C2(C)C1,Fruity,Nature,Lemon,Citrus,Sweet,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CC(=O)C2(C)OC2C1,Food,Minty,Sweet,Spices,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CC=C(C)C(=O)C1,Food,Vegetation,Fruity,Aromatic,Vegetables,Green,Minty,Woody,Resinous,Sweet,Spices,Fragrant,Bakery,Herbaceous,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CC=C(C)C(O)C1,Food,Vegetation,Spices,Aromatic,Fuel,Fresh,Hydrocarbo,Woody,Minty,Solvent,Resinous,Chemical,Sweet,Hydrocar,Fragrant,Gas Station,Herbaceous,,,,,,,,,,,,,,,,,,,
C=C(C)C1CC=C(C)C(OC(=O)CC)C1,Fragrant,Sweet,Fruity,Nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CC=C(C)C(OC(C)=O)C1,Pungent,Vegetation,Fruity,Aromatic,Nature,Lemon,Green,Minty,Woody,Resinous,Sharp,Sweet,Fragrant,Herbaceous,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CC=C(C)CC1,Oriental,Vegetables,Fuel,Hydrocarbo,Minty,Chemical,Fragrant,Lem,Fruity,Lemon,Solvent,Other,Hydrocar,Terpenes,Non-food items,Vegetation,Aromatic,Fresh,Phenolic,Resinous,Citrus,Spices,Gas Station,Herbaceous,Medicinal,Woody,Non-citrus fruity,Grassy,Sweet,Pine,,,,,,
C=C(C)C1CC=C(C2OCC(C)O2)CC1,Food,Vegetation,Aromatic,Woody,Resinous,Spices,Fragrant,Herbaceous,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CC=C(C=O)CC1,Vegetables,Cleaning materials,Fragrant,Lem,Sickening,Food,Fruity,Lemon,Terpenes,Non-food items,Pungent,Vegetation,Aromatic,Nose Feel,Fresh,Foul,Resinous,Citrus,Spices,Herbaceous,Woody,Green,Non-citrus fruity,Grassy,Sharp,Sweet,Pine,,,,,,,,,
C=C(C)C1CC=C(CO)CC1,Food,Fruity,Aromatic,Nature,Vegetables,Woody,Green,Minty,Non-citrus fruity,Waxy,Resinous,Grassy,Citrus,Sweet,Spices,Fragrant,Floral,,,,,,,,,,,,,,,,,,,
C=C(C)C1CC=C(COC(C)=O)CC1,Fruity,Nature,Woody,Resinous,Grassy,Sweet,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)(O)C(O)C1,Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)(O)C1C,Food,Fruity,Lemon,Minty,Spices,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)(O)CC1,Earthy,Pungent,Nose Feel,Mol,Foul,Woody,Musty,Resinous,Grassy,Sharp,Sickening,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)(OC(C)=O)C1C,Plants,Vegetation,Aromatic,Woody,Resinous,Grassy,Sweet,Fragrant,Herbaceous,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)=C(OO)C1,Plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)=C1CC(C)(C)COC(=O)CC,Fragrant,Ambrosial,People & animals,Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)C(=O)C1,Vegetation,Aromatic,Lemon,Pine,Woody,Minty,Lem,Resinous,Grassy,Sweet,Fragrant,Bakery,Terpenes,Herbaceous,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)C(O)C1,Food,Vegetation,Aromatic,Lemon,Pine,Fresh,Woody,Minty,Lem,Resinous,Grassy,Sweet,Spices,Fragrant,Terpenes,Herbaceous,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)C(OC(C)=O)C1,Vegetables,Minty,Chemical,Fragrant,Lem,Food,Fruity,Hydrocar,Terpenes,Phenolic,Spices,Alcohol,Nature,Medicinal,Green,Woody,Sweet,Floral,Pine,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)C1C=O,Vegetation,Aromatic,Woody,Minty,Resinous,Sweet,Fragrant,Herbaceous,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)C2=C(C1)C(C)CC2,Resinous,Balsamic,Grassy,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)C2=C(C1)C(C)CC2=O,Vegetation,Woody,Resinous,Grassy,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)CC1=O,Vegetation,Aromatic,Fresh,Woody,Minty,Resinous,Sweet,Fragrant,Herbaceous,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)CC1O,Minty,Chemical,Fragrant,Lem,Fruity,Lemon,Hydrocar,Terpenes,Vegetation,Aromatic,Phenolic,Resinous,Herbaceous,Alcohol,Medicinal,Woody,Green,Grassy,Sweet,Pine,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)CC1OC(C)=O,Alcohol,Vegetation,Fruity,Lemon,Medicinal,Woody,Minty,Phenolic,Resinous,Grassy,Chemical,Sweet,Hydrocar,Fragrant,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)CC1OC=O,Vegetation,Fruity,Nature,Green,Sweet,Fragrant,Floral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C=O)CC1,Food,Vegetation,Fruity,Aromatic,Nature,Woody,Resinous,Sweet,Spices,Fragrant,Herbaceous,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC2(C)CCC=C(C)C2C1,Soft oriental,Mossy woods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC2(C)CCCC(=C)C2C1,Vegetation,Aromatic,Woody,Resinous,Fragrant,Herbaceous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC2(C)OC2C1,Vegetation,Fruity,Aromatic,Nature,Lemon,Clean,Fresh,Green,Minty,Woody,Resinous,Sweet,Fragrant,Herbaceous,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC2=CC(=O)CC(C)C2(C)C1,Fruity,Lemon,Woody,Lem,Resinous,Grassy,Citrus,Sweet,Terpenes,Fragrant,Floral,Pine,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC2=CCCC(C)C2(C)C1,Non-food items,Fruity,Lemon,Fresh,Woody,Green,Resinous,Grassy,Citrus,Sweet,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC2CC(=O)CC(C)C2(C)C1,Fruity,Nature,Lemon,Citrus,Other,Sweet,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C=CC(CCC(C)=O)C(C)C,Fruity,Nature,Vegetables,Woody,Grassy,Sweet,Fragrant,Dry woods,Herbaceous,Tobacco smoke,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C=O,Vegetation,Fruity,Nature,Green,Fragrant,Floral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)CC(C)=O,Food,Pungent,Nose Feel,Synthetic,Foul,Sharp,Sickening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)CC(C)OC(=O)C(C)C,Vegetation,Fruity,Aromatic,Nature,Woody,Resinous,Other,Sweet,Fragrant,Floral,Herbaceous,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)CCC(C)=O,Food,Vegetation,Fruity,Green,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)CCCC(C)=CCC(C)C=O,Soft floral,Fruity,Nature,Lemon,Waxy,Chemical,Sweet,Hydrocar,Fragrant,People & animals,Floral,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)CCCC(C)CCO,Vegetables,Mol,Cleaning materials,Musty,Fragrant,Lem,Food,Earthy,Fruity,Lemon,Terpenes,Soft floral,Non-food items,Pungent,Nose Feel,Fresh,Resinous,Citrus,Spices,Plants,Beverage,Nature,Woody,Metallic,Waxy,Sharp,Sweet,Floral,Pine,,,,,,,
C=C(C)CCCC(C)CCOC(=O)C(C)C,Food,Fruity,Nature,Other,Sweet,Spices,Fragrant,Floral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)CCCC(C)CCOC(=O)CC,Fragrant,Floral,Plants,Nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)CCCC(C)CCOC(=O)CC(C)C,Fruity,Nature,Sweet,Fragrant,Floral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)CCCC(C)CCOC(=O)CCC,Fruity,Nature,Sweet,Fragrant,Floral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)CCCC(C)CCOC(=O)Cc1ccccc1,Soft floral,Caramel,Fruity,Nature,Green,Waxy,Sweet,Fragrant,Floral,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)CCCC(C)CCOC(=O)c1ccccc1,Nature,Sweet,Fragrant,Floral,Microbiological,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)CCCC(C)CCOC(C)=O,Soft floral,Food,Vegetation,Fruity,Nature,Lemon,Fresh,Sweet,Spices,Fragrant,Floral,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)CCCC(C)CCOC=O,Dry,Vegetation,Fruity,Nature,Green,Fragrant,Floral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)CCCC(C)CO,Fruity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)CCO,Fragrant,Sweet,Fruity,Nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)CCOC(=O)C(C)(C)C,Vegetation,Fruity,Aromatic,Nature,Fresh,Woody,Resinous,Sweet,Fragrant,Floral,Herbaceous,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)CCOC(C)=O,Fragrant,Sweet,Fruity,Nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)COC(=O)CCC,Fruity,Nature,Non-citrus fruity,Chemical,Sweet,Hydrocar,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)COCCC=CCC,Fruity,Nature,Vegetables,Fresh,Green,Fragrant,Floral,Herbaceous,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)OC(C)=O,Fruity,Nature,Chemical,Sweet,Hydrocar,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)c1cc(C(C)=O)ccn1,Vegetation,Fruity,Aromatic,Foul,Green,Woody,Resinous,Fragrant,Bakery,Herbaceous,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)c1ccc(C)cc1,Vegetables,Restaurant,Mol,Nutty,Musty,Fragrant,Lem,Food,Earthy,Fruity,Lemon,Terpenes,Pungent,Aromatic,Phenolic,Resinous,Citrus,Spices,Medicinal,Woody,Sharp,Sweet,Pine,,,,,,,,,,,,,
C=C(C)c1cccc(C(C)CC=O)c1,Chlorinous,Vegetation,Fruity,Nature,Water,Fresh,Green,Fragrant,Floral,Ozonou,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)c1ccnc(C(C)=O)c1,Fruity,Green,Woody,Lem,Soft oriental,Grassy,Mossy woods,Sweet,Fragrant,Terpenes,Pine,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)c1ccnc(CC)c1,Vegetation,Aromatic,Bitter,Nutty,Woody,Resinous,Fragrant,Herbaceous,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)c1cnccn1,Caramel,Chocolate,Nutty,Sweet,Bakery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C=O)C(C)CC(C)(C)C,Sweet,Minty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C=O)C(C)CCC=C(C)C,Fruity,Lemon,Fresh,Woody,Green,Resinous,Grassy,Citrus,Fragrant,Plants,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(CC(C)CO)C1CC=C(C)C1(C)C,Vegetation,Woody,Woody oriental,Resinous,Grassy,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(CC=O)CCC=C(C)C,Food,Fruity,Nature,Vegetables,Lemon,Lem,Chemical,Citrus,Sweet,Hydrocar,Fragrant,Terpenes,Floral,Pine,,,,,,,,,,,,,,,,,,,,,,
C=C(CCC=C(C)C)C1CC=C(C)CC1,Resinous,Balsamic,Grassy,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(CCCCC)C(C)=O,Earthy,Pungent,Mol,Woody,Musty,Resinous,Sharp,Microbial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(CCOC(C)=O)c1ccccc1,Alcohol,Pungent,Vegetation,Spices,Nature,Balsamic,Medicinal,Minty,Chemical,Sweet,Hydrocar,Fragrant,Floral,Plants,,,,,,,,,,,,,,,,,,,,,,
C=C(CO)C1CC=C(C)CC1,Fruity,Lemon,Clean,Sweet,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(COC(C)=O)C1CC=C(C)CC1,Fragrant,Sweet,Fruity,Nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(O)C(C)CCCC(C)C,Vegetation,Aromatic,Pine,Woody,Lem,Resinous,Grassy,Fragrant,Terpenes,Herbaceous,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(OC(C)=O)c1ccccc1,Fecal,Pungent,Nature,Medicinal,Waste,Woody,Phenolic,Sewery,Sharp,Fragrant,People & animals,Floral,,,,,,,,,,,,,,,,,,,,,,,,
C=C(OCC)C1C(C)(C)CC(=O)CC1(C)C,Vegetation,Aromatic,Woody,Soft oriental,Resinous,Grassy,Mossy woods,Fragrant,Dry woods,Herbaceous,Tobacco smoke,,,,,,,,,,,,,,,,,,,,,,,,,
C=C1C(=O)CC2CC1C2(C)C,Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C1C(=O)OC2C1CCC(=C)C1CCC(=C)C12,Nutty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C1C(O)CC23CC1C(C)(C)C2CCC3C,Fruity,Nature,Woody,Resinous,Grassy,Sweet,Fragrant,Dry woods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C1C(O)CC2CC1C2(C)C,Vegetation,Aromatic,Nature,Balsamic,Lemon,Fresh,Pine,Woody,Minty,Lem,Resinous,Grassy,Sweet,Spices,Fragrant,Terpenes,Floral,Herbaceous,,,,,,,,,,,,,,,,,,
C=C1C2CC3CC1C(O)C(C2)C3C,Food,Vegetables,Woody,Resinous,Grassy,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C1C2CC3CC1C(OC(C)=O)C(C2)C3C,Woody,Resinous,Soft oriental,Grassy,Mossy woods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C1C2CCC(C)(OCC)C1CCC2(C)C,Plants,Woody,Soft oriental,Resinous,Grassy,Mossy woods,Dry woods,Herbaceous,Tobacco smoke,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C1C2CCC(C2)C1(C)C,Oriental,Minty,Cleaning materials,Chemical,Fragrant,Lem,Food,Fruity,Lemon,Hydrocar,Terpenes,Vegetation,Aromatic,Fresh,Phenolic,Resinous,Spices,Plants,Herbaceous,Alcohol,Medicinal,Woody,Green,Grassy,Sweet,Pine,,,,,,,,,,
C=C1C2CCC(C2)C1(C)CCC=C(C)CO,Vegetation,Woody,Woody oriental,Resinous,Grassy,People & animals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C1C2CCC(C2)C1(C)CCC=C(C)COC(=O)Cc1ccccc1,Caramel,Vegetation,Nature,Woody,Woody oriental,Waxy,Resinous,Grassy,Fragrant,Floral,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C1C2CCC3C2C(C)(C)CCCC13C,Alcohol,Medicinal,Woody,Minty,Phenolic,Resinous,Grassy,Chemical,Sweet,Hydrocar,Fragrant,Floral,Plants,,,,,,,,,,,,,,,,,,,,,,,
C=C1C=CC(C(C)C)CC1,Lem,Terpenes,Pine,Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C1C=CC(C(C)C)CCC(C)=CCC1,Food,Woody,Resinous,Grassy,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C1C=CC(C(C)CCC=C(C)C)CC1,Vegetation,Fruity,Aromatic,Nature,Woody,Resinous,Grassy,Sweet,Fragrant,Herbaceous,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C1C=CCC(C)(C)C12CCC(C)O2,Earthy,Pungent,Fruity,Nature,Mol,Woody,Green,Musty,Resinous,Grassy,Sharp,Sweet,Fragrant,Floral,Beverage,,,,,,,,,,,,,,,,,,,,,
C=C1CC(C)OC(c2ccccc2)C1,Vegetation,Fruity,Aromatic,Nature,Green,Woody,Resinous,Fragrant,Floral,Herbaceous,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C1CCC(C(C)C)C2C=C(C)CCC12,Food,Vegetation,Aromatic,Woody,Resinous,Grassy,Spices,Fragrant,Herbaceous,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C1CCC2(C(C)C)CC12,Food,Non-food items,Fruity,Lemon,Pine,Woody,Green,Minty,Lem,Resinous,Grassy,Spices,Fragrant,Terpenes,Plants,,,,,,,,,,,,,,,,,,,,,
C=C1CCC23C(C)CCC(C(C)C)C2C13,Fruity,Nature,Vegetables,Lemon,Sweet,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C1CCC2C(C1)C2(C)C,Fragrant,Citrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C1CCC2C(C3C(C)CCC13)C2(C)C,Resinous,Grassy,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C1CCC2C(C3C1CCC3(C)O)C2(C)C,Earthy,Pungent,Vegetation,Fruity,Aromatic,Nature,Mol,Woody,Musty,Resinous,Sharp,Sweet,Fragrant,Herbaceous,,,,,,,,,,,,,,,,,,,,,,
C=C1CCC2C1C1C(C(C)C)CCC21C,Popcorn,Caramel,Dairy,Vegetation,Aromatic,Nature,Balsamic,Woody,Nutty,Resinous,Grassy,Sweet,Fragrant,Dry fruit,Bakery,Floral,Herbaceous,,,,,,,,,,,,,,,,,,,
C=C1CCC2CC1C2(C)C,Oriental,Minty,Fragrant,Lem,Food,Fruity,Lemon,Terpenes,Dry,Vegetation,Aromatic,Fresh,Resinous,Spices,Plants,Herbaceous,Woody,Green,Grassy,Sweet,Pine,,,,,,,,,,,,,,,
C=C1CCC2OC2(C)CCC2C1CC2(C)C,Dry,Food,Vegetation,Aromatic,Fresh,Woody,Resinous,Grassy,Sweet,Spices,Fragrant,Herbaceous,,,,,,,,,,,,,,,,,,,,,,,,
C=C1CCC=C(C)CCC2C1CC2(C)C,Dry,Food,Aromatic,Woody,Lem,Resinous,Grassy,Sweet,Spices,Fragrant,Terpenes,Pine,,,,,,,,,,,,,,,,,,,,,,,,
C=C1CCCC(C)(C)C1C(=O)C=CC,Fruity,Nature,Cooked,Green,Sweet,Fragrant,Dry woods,Floral,Herbaceous,Tobacco smoke,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C1CCCC(C)(C)C1C(=O)OC,Vegetation,Fruity,Aromatic,Nature,Woody,Minty,Non-citrus fruity,Resinous,Chemical,Sweet,Hydrocar,Fragrant,Floral,Herbaceous,,,,,,,,,,,,,,,,,,,,,,
C=C1CCCC(C)(C)C1C=CC(C)=O,Fruity,Nature,Woody,Green,Resinous,Grassy,Sweet,Fragrant,Floral,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C1CCCC(C)(C)C1CCC(C)=O,Earthy,Pungent,Mol,Woody,Musty,Soft oriental,Grassy,Resinous,Mossy woods,Sharp,Sweet,Fragrant,Dry woods,Floral,Herbaceous,Tobacco smoke,,,,,,,,,,,,,,,,,,,,
C=C1CCCC2(C)CCC(=C(C)C)CC12,Resinous,Grassy,Woody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C1CCCC2(C)CCC(C(C)(C)O)CC12,Food,Fruity,Vegetables,Woody,Green,Resinous,Grassy,Spices,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C=CC(C)C(=O)OCC,Fruity,Nature,Green,Non-citrus fruity,Chemical,Sweet,Hydrocar,Fragrant,Beverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
C=CC(=C)CC(O)C=C(C)C,Balsamic,Lem,Woody,Terpenes,Pine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
