standardized_smiles,odor_2,odor_3,odor_4,odor_5,odor_6,odor_7,odor_8,odor_9,odor_10,odor_11,odor_12,odor_13,odor_14,odor_15,odor_16,odor_17,odor_18,odor_19,odor_20,odor_21,odor_22,odor_23,odor_24,odor_25,odor_26,odor_27,odor_28,odor_29,odor_30,odor_31,odor_32,odor_33,odor_34,odor_35,odor_36,odor_37
BrC=Cc1ccccc1,Fragrant,Vegetation,Green,Fruity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CC(C)(O)CCC=C(C)C,Dry,Ambrosial,Woody,Waxy,Resinous,Grassy,Sweet,Fragrant,Plants,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CC1(OC(C)=O)CCCCC1,Dry,Vegetation,Aromatic,Woody,Nutty,Resinous,Grassy,Other,Fragrant,Floral,Herbaceous,,,,,,,,,,,,,,,,,,,,,,,,,
C#CC1(OC(C)=O)CCCCC1C(C)CC,Dry,Vegetation,Woody,Soft oriental,Resinous,Grassy,Mossy woods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CCO,Fragrant,Floral,Nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(=CC1OCCO1)c1ccccc1,Food,Sweet,Spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C12=C3C4C1=C1C2C3C14,Food,Fruity,Nature,Sweet,Spices,Fragrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1=CC2COCC2CCCCCCCC1,Ambrosial,Earthy,Pungent,Mol,Woody,Musty,Resinous,Other,Sharp,People & animals,,,,,,,,,,,,,,,,,,,,,,,,,,
C1=CCOC=C1,Smokey,Woody,Resinous,Bakery,People & animals,Sickening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1=NCCC1,Fishy,Food,Nature,Ammonia,Non-vegetarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CC2C3CC(C2C1)C1(CCCO1)C3,Fruity,Nature,Vegetables,Lemon,Fresh,Woody,Citrus,Fragrant,Floral,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1CCC(SSC2CCCCC2)CC1,Septic,Food,Vegetables,Nature,Restaurant,Sulp,Nutty,Poultry,Alliaceous,Marshy,People & animals,Sickening,,,,,,,,,,,,,,,,,,,,,,,,
